名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,01,NECレッドロケッツ,3,24,195,73,15,37.4,29.7,25,10,3,15,78,6,8,18,4,3,0,40.0,3.0,0.6,10.9,75.0
イエリズバシャ,02,NECレッドロケッツ,3,25,229,88,19,38.4,30.1,67,23,4,11,76,2,3,31,6,3,0,34.3,3.5,0.4,11.8,50.0
イエリズバシャ,11,NECレッドロケッツ,3,19,116,47,11,40.5,31.0,4,0,0,7,49,1,1,7,1,1,0,0.0,2.5,0.4,5.1,100.0
イエリズバシャ,12,NECレッドロケッツ,3,10,82,37,6,45.1,37.8,7,3,0,4,38,2,5,9,1,1,0,42.9,3.7,0.4,7.9,100.0
カナニダニエルソン,01,トヨタ車体クインシーズ,23,27,335,128,18,38.2,32.8,65,22,3,7,91,3,7,28,55,34,0,33.8,4.7,0.3,9.1,61.8
カナニダニエルソン,02,トヨタ車体クインシーズ,23,23,287,85,15,29.6,24.4,39,13,2,4,64,1,3,9,25,18,0,33.3,3.7,0.2,3.9,72.0
カナニダニエルソン,11,トヨタ車体クインシーズ,23,13,139,52,5,37.4,33.8,13,6,0,0,32,0,3,9,27,13,0,46.2,4.0,0.0,4.7,48.1
カナニダニエルソン,12,トヨタ車体クインシーズ,23,6,70,16,5,22.9,15.7,9,2,1,1,19,1,4,1,3,2,0,22.2,2.7,0.2,1.3,66.7
パオリーニローレン,01,日立リヴァーレ,7,30,214,108,9,50.5,46.3,0,0,0,12,80,6,9,29,1,0,0,,3.6,0.4,13.8,0.0
パオリーニローレン,02,日立リヴァーレ,7,24,203,103,11,50.7,45.3,1,0,0,20,74,2,10,22,12,9,0,0.0,4.3,0.8,6.8,75.0
パオリーニローレン,11,日立リヴァーレ,7,18,158,94,7,59.5,55.1,0,0,0,13,63,3,6,27,9,7,0,,5.2,0.7,13.1,77.8
パオリーニローレン,12,日立リヴァーレ,7,10,76,42,4,55.3,50.0,0,0,0,5,31,0,5,3,1,1,0,,4.2,0.5,-1.6,100.0
マーフィーケリー,01,埼玉上尾メディックス,15,28,411,145,28,35.3,28.5,128,35,13,8,102,5,9,35,4,4,0,27.3,5.2,0.3,11.3,100.0
マーフィーケリー,02,埼玉上尾メディックス,15,25,375,135,21,36.0,30.4,125,40,13,4,104,5,4,43,3,2,0,32.0,5.4,0.2,14.2,66.7
マーフィーケリー,11,埼玉上尾メディックス,15,18,245,90,12,36.7,31.8,79,33,6,4,84,7,3,36,1,1,0,41.8,5.0,0.2,18.2,100.0
マーフィーケリー,12,埼玉上尾メディックス,15,9,120,54,5,45.0,40.8,48,19,2,3,35,4,4,11,0,0,0,39.6,6.0,0.3,16.4,
ミアイエルコフ,01,デンソーエアリービーズ,88,27,456,172,31,37.7,30.9,101,33,10,6,94,5,10,32,49,24,0,32.7,6.4,0.2,11.2,49.0
ミアイエルコフ,02,デンソーエアリービーズ,88,27,454,173,32,38.1,31.1,89,30,12,10,87,1,11,34,62,44,0,33.7,6.4,0.4,7.8,71.0
ミアイエルコフ,11,デンソーエアリービーズ,88,18,298,111,17,37.2,31.5,50,13,4,3,60,5,5,17,46,29,0,26.0,6.2,0.2,13.3,63.0
ミアイエルコフ,12,デンソーエアリービーズ,88,8,129,56,12,43.4,34.1,35,15,6,3,30,1,2,5,7,4,0,42.9,7.0,0.4,5.8,57.1
ミハイロビッチブランキツァ,01,久光製薬スプリングス,9,3,30,14,3,46.7,36.7,10,4,1,3,7,0,2,3,1,1,0,40.0,4.7,1.0,3.6,100.0
ミハイロビッチブランキツァ,11,久光製薬スプリングス,9,6,52,20,1,38.5,36.5,6,3,0,2,15,3,4,5,0,0,0,50.0,3.3,0.3,21.7,
ミハイロビッチブランキツァ,12,久光製薬スプリングス,9,1,9,1,1,11.1,0.0,1,0,0,0,1,0,0,1,0,0,0,0.0,1.0,0.0,25.0,
三浦茉実,01,埼玉上尾メディックス,9,12,10,2,0,20.0,20.0,0,0,0,3,14,0,0,2,3,2,0,,0.2,0.2,3.6,66.7
三浦茉実,02,埼玉上尾メディックス,9,7,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.1,,
三浦茉実,11,埼玉上尾メディックス,9,6,6,3,0,50.0,50.0,0,0,0,1,11,0,0,5,0,0,0,,0.5,0.2,11.4,
三浦茉実,12,埼玉上尾メディックス,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上野香織,01,NECレッドロケッツ,15,23,115,38,9,33.0,25.2,12,1,2,8,86,1,7,27,14,10,0,8.3,1.7,0.3,7.0,71.4
上野香織,02,NECレッドロケッツ,15,12,34,15,1,44.1,41.2,3,1,0,1,29,1,6,6,3,2,0,33.3,1.2,0.1,3.4,66.7
上野香織,11,NECレッドロケッツ,15,8,16,7,2,43.8,31.2,4,4,0,1,17,2,2,3,0,0,0,100.0,0.9,0.1,13.2,
