名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,2014-11,NECレッドロケッツ,3,12,8,3,19,116,47,11,40.5,31.0,4,0,0,7,49,1,1,7,1,1,0,55,0.0,2.47,0.37,5.1,100.0
イエリズバシャ,2014-12,NECレッドロケッツ,3,6,4,2,10,82,37,6,45.1,37.8,7,3,0,4,38,2,5,9,1,1,0,43,42.9,3.7,0.4,7.9,100.0
イエリズバシャ,2015-01,NECレッドロケッツ,3,14,10,4,24,195,73,15,37.4,29.7,25,10,3,15,78,6,8,18,4,3,0,94,40.0,3.04,0.62,10.9,75.0
イエリズバシャ,2015-02,NECレッドロケッツ,3,14,11,4,25,229,88,19,38.4,30.1,67,23,4,11,76,2,3,31,6,3,0,101,34.3,3.52,0.44,11.8,50.0
カナニダニエルソン,2014-11,トヨタ車体クインシーズ,23,8,10,2,13,139,52,5,37.4,33.8,13,6,0,0,32,0,3,9,27,13,0,52,46.2,4.0,0.0,4.7,48.1
カナニダニエルソン,2014-12,トヨタ車体クインシーズ,23,2,6,0,6,70,16,5,22.9,15.7,9,2,1,1,19,1,4,1,3,2,0,18,22.2,2.67,0.17,1.3,66.7
カナニダニエルソン,2015-01,トヨタ車体クインシーズ,23,12,18,3,27,335,128,18,38.2,32.8,65,22,3,7,91,3,7,28,55,34,0,138,33.8,4.74,0.26,9.1,61.8
カナニダニエルソン,2015-02,トヨタ車体クインシーズ,23,8,18,1,23,287,85,15,29.6,24.4,39,13,2,4,64,1,3,9,25,18,0,90,33.3,3.7,0.17,3.9,72.0
パオリーニローレン,2014-11,日立リヴァーレ,7,8,11,2,18,158,94,7,59.5,55.1,0,0,0,13,63,3,6,27,9,7,0,110,,5.22,0.72,13.1,77.8
パオリーニローレン,2014-12,日立リヴァーレ,7,6,4,2,10,76,42,4,55.3,50.0,0,0,0,5,31,0,5,3,1,1,0,47,,4.2,0.5,-1.6,100.0
パオリーニローレン,2015-01,日立リヴァーレ,7,11,19,1,30,214,108,9,50.5,46.3,0,0,0,12,80,6,9,29,1,0,0,126,,3.6,0.4,13.8,0.0
パオリーニローレン,2015-02,日立リヴァーレ,7,7,17,2,24,203,103,11,50.7,45.3,1,0,0,20,74,2,10,22,12,9,0,125,0.0,4.29,0.83,6.8,75.0
マーフィーケリー,2014-11,埼玉上尾メディックス,15,9,9,2,18,245,90,12,36.7,31.8,79,33,6,4,84,7,3,36,1,1,0,101,41.8,5.0,0.22,18.2,100.0
マーフィーケリー,2014-12,埼玉上尾メディックス,15,5,4,1,9,120,54,5,45.0,40.8,48,19,2,3,35,4,4,11,0,0,0,61,39.6,6.0,0.33,16.4,
マーフィーケリー,2015-01,埼玉上尾メディックス,15,14,14,4,28,411,145,28,35.3,28.5,128,35,13,8,102,5,9,35,4,4,0,158,27.3,5.18,0.29,11.3,100.0
マーフィーケリー,2015-02,埼玉上尾メディックス,15,16,9,5,25,375,135,21,36.0,30.4,125,40,13,4,104,5,4,43,3,2,0,144,32.0,5.4,0.16,14.2,66.7
ミアイエルコフ,2014-11,デンソーエアリービーズ,88,3,15,0,18,298,111,17,37.2,31.5,50,13,4,3,60,5,5,17,46,29,0,119,26.0,6.17,0.17,13.3,63.0
ミアイエルコフ,2014-12,デンソーエアリービーズ,88,4,4,1,8,129,56,12,43.4,34.1,35,15,6,3,30,1,2,5,7,4,0,60,42.9,7.0,0.38,5.8,57.1
ミアイエルコフ,2015-01,デンソーエアリービーズ,88,10,17,2,27,456,172,31,37.7,30.9,101,33,10,6,94,5,10,32,49,24,0,183,32.7,6.37,0.22,11.2,49.0
ミアイエルコフ,2015-02,デンソーエアリービーズ,88,13,14,3,27,454,173,32,38.1,31.1,89,30,12,10,87,1,11,34,62,44,0,184,33.7,6.41,0.37,7.8,71.0
ミハイロビッチブランキツァ,2014-11,久光製薬スプリングス,9,6,3,2,6,52,20,1,38.5,36.5,6,3,0,2,15,3,4,5,0,0,0,25,50.0,3.33,0.33,21.7,
ミハイロビッチブランキツァ,2014-12,久光製薬スプリングス,9,5,3,1,1,9,1,1,11.1,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0.0,1.0,0.0,25.0,
ミハイロビッチブランキツァ,2015-01,久光製薬スプリングス,9,6,0,2,3,30,14,3,46.7,36.7,10,4,1,3,7,0,2,3,1,1,0,17,40.0,4.67,1.0,3.6,100.0
三浦茉実,2014-11,埼玉上尾メディックス,9,9,9,2,6,6,3,0,50.0,50.0,0,0,0,1,11,0,0,5,0,0,0,4,,0.5,0.17,11.4,
三浦茉実,2014-12,埼玉上尾メディックス,9,5,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦茉実,2015-01,埼玉上尾メディックス,9,14,14,4,12,10,2,0,20.0,20.0,0,0,0,3,14,0,0,2,3,2,0,5,,0.17,0.25,3.6,66.7
三浦茉実,2015-02,埼玉上尾メディックス,9,12,5,4,7,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,0.14,,
上野香織,2014-11,NECレッドロケッツ,15,12,8,3,8,16,7,2,43.8,31.2,4,4,0,1,17,2,2,3,0,0,0,10,100.0,0.88,0.12,13.2,
上野香織,2014-12,NECレッドロケッツ,15,6,4,2,6,20,8,1,40.0,35.0,4,2,1,3,14,0,4,0,1,0,0,11,50.0,1.33,0.5,-7.1,0.0
上野香織,2015-01,NECレッドロケッツ,15,14,10,4,23,115,38,9,33.0,25.2,12,1,2,8,86,1,7,27,14,10,0,47,8.3,1.65,0.35,7.0,71.4
