試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-02-06,大分三好ヴァイセアドラー,1,,バグナスブライアン,5,■,■,■,■,■,45,22,4,0.4888888888888889,0.4,4.40,12,8,0,66.7,2,0.40,14,0,4,3,-1.8,54,20,17,52.8,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,4,,勝将哉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,5,,大西基之,5,■,■,■,■,■,7,3,1,0.42857142857142855,0.2857142857142857,0.60,0,0,0,-,2,0.40,9,0,0,1,2.8,1,0,1,50.0,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,7,L,松尾敬介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,8,,川口喬,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,9,,林一壽,5,■,■,■,■,■,10,4,1,0.4,0.3,0.80,0,0,0,-,0,-,18,0,2,2,0.0,1,1,0,100.0,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,10,,山田滉太,5,■,■,■,■,■,32,16,2,0.5,0.4375,3.20,6,4,0,66.7,3,0.60,15,0,7,2,-8.3,28,14,6,60.7,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,11,,ストックトンカーティス,5,■,■,■,■,■,55,31,5,0.5636363636363636,0.4727272727272727,6.20,26,13,4,50.0,1,0.20,15,0,7,3,-6.7,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,13,L,久保田雅人,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,5,3,54.2,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,16,,濱本豊,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,2,0,-25.0,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,18,,古賀健太,3,□,nan,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,21,,井口直紀,5,■,■,■,■,■,1,1,0,1.0,1.0,0.20,0,0,0,-,0,-,20,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,22,,藤岡諒馬,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,24,,米田亘希,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,8,0,1,2,3.1,2,0,0,0.0,,,,,,,,
2021-02-06,大分三好ヴァイセアドラー,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,150,77,13,0.5133333333333333,0.4266666666666667,15.40,44,25,4,56.8,8,1.60,102,0,24,14,-2.5,98,40,27,54.6,131,53,7,40.5,8,1.60,7.6,69.2
