名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,2015-10,NECレッドロケッツ,3,7,10,1,16,37,11,5,29.7,16.2,4,1,1,2,10,0,0,7,0,0,0,13,25.0,0.69,0.12,17.5,
イエリズバシャ,2015-11,NECレッドロケッツ,3,11,9,3,15,11,3,0,27.3,27.3,0,0,0,0,1,0,0,1,1,0,0,3,,0.2,0.0,25.0,0.0
イエリズバシャ,2015-12,NECレッドロケッツ,3,1,6,0,6,54,22,4,40.7,33.3,6,4,1,4,11,0,2,2,0,0,0,26,66.7,3.67,0.67,0.0,
イエリズバシャ,2016-01,NECレッドロケッツ,3,8,14,2,18,89,33,8,37.1,28.1,13,2,1,7,26,0,2,6,1,0,0,40,15.4,1.83,0.39,3.8,0.0
テトリディクソン,2015-10,東レアローズ,21,12,2,4,14,64,33,3,51.6,46.9,0,0,0,10,48,2,4,14,0,0,0,45,,2.36,0.71,9.4,
テトリディクソン,2015-11,東レアローズ,21,16,11,4,27,159,86,7,54.1,49.7,0,0,0,15,88,4,3,31,2,2,0,105,,3.19,0.56,12.5,100.0
テトリディクソン,2015-12,東レアローズ,21,9,5,3,14,65,32,1,49.2,47.7,0,0,0,6,46,2,3,23,0,0,0,40,,2.29,0.43,15.2,
テトリディクソン,2016-01,東レアローズ,21,9,4,3,12,59,29,3,49.2,44.1,0,0,0,3,44,2,1,13,1,1,0,34,,2.42,0.25,11.4,100.0
パオリーニローレン,2015-10,日立リヴァーレ,7,7,7,2,14,98,51,5,52.0,46.9,0,0,0,8,52,2,2,26,5,2,0,61,,3.64,0.57,15.4,40.0
パオリーニローレン,2015-11,日立リヴァーレ,7,17,14,5,31,253,125,17,49.4,42.7,0,0,0,21,88,8,8,31,13,8,0,154,,4.03,0.68,15.6,61.5
パオリーニローレン,2015-12,日立リヴァーレ,7,11,5,3,16,155,85,9,54.8,49.0,0,0,0,9,56,5,5,22,6,6,0,99,,5.31,0.56,16.5,100.0
パオリーニローレン,2016-01,日立リヴァーレ,7,11,9,3,20,133,60,10,45.1,37.6,0,0,0,7,67,3,11,29,3,1,0,70,,3.0,0.35,11.2,33.3
ボカンタチアナ,2015-10,久光製薬スプリングス,7,9,7,3,4,8,4,0,50.0,50.0,0,0,0,0,2,0,1,1,3,2,0,4,,1.0,0.0,0.0,66.7
ボカンタチアナ,2015-11,久光製薬スプリングス,7,13,8,3,6,11,3,0,27.3,27.3,0,0,0,0,0,0,0,0,0,0,0,3,,0.5,0.0,,
ボカンタチアナ,2015-12,久光製薬スプリングス,7,3,0,1,1,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
ポリーナラヒモワ,2015-10,トヨタ車体クインシーズ,17,8,9,1,17,265,110,30,41.5,30.2,78,31,10,10,64,9,14,29,1,0,0,129,39.7,6.47,0.59,19.9,0.0
ポリーナラヒモワ,2015-11,トヨタ車体クインシーズ,17,10,20,1,30,408,172,40,42.2,32.4,107,51,16,10,145,22,30,64,2,1,0,204,47.7,5.73,0.33,21.0,50.0
ポリーナラヒモワ,2015-12,トヨタ車体クインシーズ,17,6,10,2,16,274,144,20,52.6,45.3,115,62,15,6,63,8,10,33,0,0,0,158,53.9,9.0,0.38,21.8,
ポリーナラヒモワ,2016-01,トヨタ車体クインシーズ,17,12,10,4,22,341,157,27,46.0,38.1,120,46,12,14,76,9,19,34,0,0,0,180,38.3,7.14,0.64,16.8,
マーフィーケリー,2015-10,埼玉上尾メディックス,15,6,11,1,17,195,80,12,41.0,34.9,55,17,5,6,54,6,10,22,0,0,0,92,30.9,4.71,0.35,16.7,
マーフィーケリー,2015-11,埼玉上尾メディックス,15,13,16,2,29,368,163,17,44.3,39.7,106,39,15,8,113,8,15,46,0,0,0,179,36.8,5.62,0.28,13.9,
マーフィーケリー,2015-12,埼玉上尾メディックス,15,7,8,2,15,211,80,14,37.9,31.3,78,25,11,7,58,7,6,25,0,0,0,94,32.1,5.33,0.47,20.3,
マーフィーケリー,2016-01,埼玉上尾メディックス,15,7,16,1,23,369,132,23,35.8,29.5,140,39,12,5,87,5,17,36,0,0,0,142,27.9,5.74,0.22,11.2,
ミアイエルコフ,2015-10,デンソーエアリービーズ,88,7,10,2,15,195,65,15,33.3,25.6,26,9,4,2,39,0,6,10,46,18,0,67,34.6,4.33,0.13,2.6,39.1
ミアイエルコフ,2015-11,デンソーエアリービーズ,88,11,16,3,27,304,105,19,34.5,28.3,33,9,5,11,98,10,10,36,104,46,0,126,27.3,3.89,0.41,16.8,44.2
ミアイエルコフ,2015-12,デンソーエアリービーズ,88,5,8,1,13,165,57,14,34.5,26.1,33,12,4,1,43,1,5,19,43,22,0,59,36.4,4.38,0.08,10.5,51.2
ミアイエルコフ,2016-01,デンソーエアリービーズ,88,4,9,1,11,133,42,6,31.6,27.1,5,1,0,1,38,7,3,14,30,14,0,50,20.0,3.82,0.09,25.7,46.7
三浦茉実,2015-10,埼玉上尾メディックス,9,6,11,1,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三浦茉実,2015-11,埼玉上尾メディックス,9,8,12,1,7,4,0,0,0.0,0.0,0,0,0,1,3,0,0,2,0,0,0,1,,0.0,0.14,16.7,
三浦茉実,2015-12,埼玉上尾メディックス,9,4,5,1,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
三浦茉実,2016-01,埼玉上尾メディックス,9,5,4,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
上野香織,2015-10,NECレッドロケッツ,11,3,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上野香織,2015-11,NECレッドロケッツ,11,17,11,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上野香織,2015-12,NECレッドロケッツ,11,5,12,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上野香織,2016-01,NECレッドロケッツ,11,8,14,2,6,15,6,1,40.0,33.3,0,0,0,0,17,0,2,7,3,3,0,6,,1.0,0.0,7.4,100.0
下平夏奈,2015-10,東レアローズ,12,12,2,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,2015-11,東レアローズ,12,16,11,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,2015-12,東レアローズ,12,9,5,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,2016-01,東レアローズ,12,15,6,5,9,0,0,0,,,0,0,0,0,11,0,2,5,0,0,0,0,,0.0,0.0,6.8,
中大路絢野,2015-10,久光製薬スプリングス,24,9,7,3,8,0,0,0,,,0,0,0,0,10,0,0,2,0,0,0,0,,0.0,0.0,5.0,
中大路絢野,2015-11,久光製薬スプリングス,24,18,13,4,9,0,0,0,,,0,0,0,0,12,1,0,7,0,0,0,1,,0.0,0.0,22.9,
中大路絢野,2015-12,久光製薬スプリングス,24,12,3,4,6,0,0,0,,,0,0,0,0,9,1,0,5,0,0,0,1,,0.0,0.0,25.0,
中大路絢野,2016-01,久光製薬スプリングス,24,14,8,4,3,0,0,0,,,0,0,0,0,3,0,1,2,0,0,0,0,,0.0,0.0,8.3,
中川千世,2015-12,デンソーエアリービーズ,7,3,8,1,5,0,0,0,,,0,0,0,0,0,0,0,0,3,2,0,0,,0.0,0.0,,66.7
中川千世,2016-01,デンソーエアリービーズ,7,8,12,2,8,0,0,0,,,0,0,0,0,2,0,0,0,21,7,0,0,,0.0,0.0,0.0,33.3
中川有美,2016-01,東レアローズ,20,18,7,6,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
