名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,NECレッドロケッツ,3,27,39,6,55,191,69,17,36.1,27.2,23,7,3,13,48,0,4,16,2,0,0,82,30.4,1.25,0.24,6.2,0.0
テトリディクソン,東レアローズ,21,46,22,14,67,347,180,14,51.9,47.8,0,0,0,34,226,10,11,81,3,3,0,224,,2.69,0.51,12.2,100.0
パオリーニローレン,日立リヴァーレ,7,46,35,13,81,639,321,41,50.2,43.8,0,0,0,45,263,18,26,108,27,17,0,384,,3.96,0.56,14.6,63.0
ボカンタチアナ,久光製薬スプリングス,7,25,15,7,11,20,8,0,40.0,40.0,0,0,0,0,2,0,1,1,3,2,0,8,,0.73,0.0,0.0,66.7
ポリーナラヒモワ,トヨタ車体クインシーズ,17,36,49,8,85,1288,583,117,45.3,36.2,420,190,53,40,348,48,73,160,3,1,0,671,45.2,6.86,0.47,20.0,33.3
マーフィーケリー,埼玉上尾メディックス,15,33,51,6,84,1143,455,66,39.8,34.0,379,120,43,26,312,26,48,129,0,0,0,507,31.7,5.42,0.31,14.8,
ミアイエルコフ,デンソーエアリービーズ,88,27,43,7,66,797,269,54,33.8,27.0,97,31,13,15,218,18,24,79,223,100,0,302,32.0,4.08,0.23,14.6,44.8
三浦茉実,埼玉上尾メディックス,9,23,32,4,16,6,0,0,0.0,0.0,0,0,0,1,3,0,0,2,1,0,0,1,,0.0,0.06,16.7,0.0
上野香織,NECレッドロケッツ,11,33,41,8,6,15,6,1,40.0,33.3,0,0,0,0,17,0,2,7,3,3,0,6,,1.0,0.0,7.4,100.0
下平夏奈,東レアローズ,12,52,24,16,9,0,0,0,,,0,0,0,0,11,0,2,5,0,0,0,0,,0.0,0.0,6.8,
中大路絢野,久光製薬スプリングス,24,53,31,15,26,0,0,0,,,0,0,0,0,34,2,1,16,0,0,0,2,,0.0,0.0,16.9,
中川千世,デンソーエアリービーズ,7,11,20,3,13,0,0,0,,,0,0,0,0,2,0,0,0,24,9,0,0,,0.0,0.0,0.0,37.5
中川有美,東レアローズ,20,18,7,6,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
丸元美緒,デンソーエアリービーズ,18,27,40,7,13,16,4,1,25.0,18.8,0,0,0,0,4,0,0,3,1,0,0,4,,0.31,0.0,18.8,0.0
丸山亜季,岡山シーガルズ,20,40,44,9,84,0,0,0,,,0,0,0,0,0,0,0,0,221,150,0,0,,0.0,0.0,,67.9
丸山裕子,埼玉上尾メディックス,20,31,48,6,60,170,51,14,30.0,21.8,0,0,0,15,156,3,14,58,14,11,0,69,,0.85,0.25,9.0,78.6
井上奈々朱,日立リヴァーレ,3,46,35,13,81,292,146,26,50.0,41.1,1,0,0,32,240,17,26,100,14,9,0,195,0.0,1.8,0.4,14.8,64.3
今野加奈子,岡山シーガルズ,3,9,14,2,10,31,12,3,38.7,29.0,0,0,0,0,10,0,0,4,27,13,0,12,,1.2,0.0,10.0,48.1
伊藤望,東レアローズ,15,55,25,17,75,380,149,20,39.2,33.9,1,0,0,25,232,13,19,89,8,7,0,187,0.0,1.99,0.33,13.1,87.5
佐々木美麗,日立リヴァーレ,14,46,35,13,40,274,96,16,35.0,29.2,39,13,5,10,85,4,9,22,176,89,0,110,33.3,2.4,0.25,8.5,50.6
佐々木萌,岡山シーガルズ,7,40,44,9,79,797,229,29,28.7,25.1,8,0,0,11,194,7,8,62,420,229,0,247,0.0,2.9,0.14,10.6,54.5
佐川奈美,NECレッドロケッツ,14,29,30,6,11,10,0,0,0.0,0.0,2,0,0,1,3,0,1,0,0,0,0,1,0.0,0.0,0.09,-8.3,
佐藤あり紗,日立リヴァーレ,5,46,35,13,81,0,0,0,,,0,0,0,0,0,0,0,0,265,155,0,0,,0.0,0.0,,58.5
佐藤澪,トヨタ車体クインシーズ,15,36,49,8,82,0,0,0,,,0,0,0,0,0,0,0,0,236,149,0,0,,0.0,0.0,,63.1
佐藤美弥,日立リヴァーレ,8,46,35,13,79,34,13,0,38.2,38.2,0,0,0,16,297,20,19,126,6,0,0,49,,0.16,0.2,15.7,0.0
内瀬戸真実,日立リヴァーレ,10,46,35,13,81,554,202,40,36.5,29.2,24,8,3,13,329,11,17,140,468,292,0,226,33.3,2.49,0.16,12.7,62.4
冨永こよみ,埼玉上尾メディックス,2,33,51,6,67,15,7,0,46.7,46.7,0,0,0,4,76,5,6,33,1,0,0,16,,0.1,0.06,15.5,0.0
南波美紅,久光製薬スプリングス,17,50,30,14,9,0,0,0,,,0,0,0,0,11,1,1,2,0,0,0,1,,0.0,0.0,11.4,
古藤千鶴,久光製薬スプリングス,2,53,31,15,84,37,20,2,54.1,48.6,1,0,0,8,331,16,14,129,3,2,0,44,0.0,0.24,0.1,13.5,66.7
古賀紗理那,NECレッドロケッツ,2,37,47,8,84,755,273,33,36.2,31.8,88,27,7,37,295,9,32,112,564,314,0,319,30.7,3.25,0.44,9.8,55.7
吉村志穂,埼玉上尾メディックス,3,27,46,4,67,431,138,21,32.0,27.1,17,4,1,6,199,2,13,71,508,250,0,146,23.5,2.06,0.09,8.3,49.2
吉田みなみ,岡山シーガルズ,1,25,26,6,18,4,0,1,0.0,-25.0,0,0,0,0,2,0,0,1,1,0,0,0,,0.0,0.0,12.5,0.0
土田望未,埼玉上尾メディックス,1,33,51,6,79,10,2,0,20.0,20.0,0,0,0,2,213,10,11,90,2,0,0,14,,0.03,0.03,14.0,0.0
坂本奈々香,デンソーエアリービーズ,3,31,49,8,34,231,56,14,24.2,18.2,4,0,0,4,81,3,4,27,21,11,0,63,0.0,1.65,0.12,10.8,52.4
堀川真理,東レアローズ,9,55,25,17,47,37,11,3,29.7,21.6,0,0,0,2,5,0,0,2,0,0,0,13,,0.23,0.04,10.0,
堀江彩,デンソーエアリービーズ,16,31,49,8,59,19,4,1,21.1,15.8,0,0,0,1,79,4,8,32,0,0,0,9,,0.07,0.02,12.7,
大升知春,岡山シーガルズ,25,21,23,5,20,29,3,5,10.3,-6.9,2,0,1,0,14,1,1,8,18,4,0,4,0.0,0.15,0.0,19.6,22.2
大室璃紗,埼玉上尾メディックス,23,33,51,6,20,0,0,0,,,0,0,0,0,5,0,0,2,42,17,0,0,,0.0,0.0,10.0,40.5
大竹里歩,デンソーエアリービーズ,12,31,49,8,80,509,179,26,35.2,30.1,4,0,0,55,166,4,11,75,7,6,0,238,0.0,2.24,0.69,12.0,85.7
大野果奈,NECレッドロケッツ,5,37,47,8,78,349,124,15,35.5,31.2,1,0,0,25,218,10,6,97,24,12,0,159,0.0,1.59,0.32,15.0,50.0
大野果歩,東レアローズ,11,55,25,17,25,63,18,3,28.6,23.8,0,0,0,12,57,2,5,20,3,2,0,32,,0.72,0.48,10.1,66.7
奥山優奈,NECレッドロケッツ,16,37,47,8,13,0,0,0,,,0,0,0,0,13,1,2,3,0,0,0,1,,0.0,0.0,9.6,
宇賀神みずき,岡山シーガルズ,5,39,41,9,21,1,1,0,100.0,100.0,0,0,0,0,12,0,1,1,0,0,0,1,,0.05,0.0,0.0,
宮下遥,岡山シーガルズ,14,40,44,9,84,36,17,2,47.2,41.7,2,1,0,14,323,11,8,121,3,0,0,42,50.0,0.2,0.17,12.2,0.0
宮本菜月,デンソーエアリービーズ,11,20,29,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
家高七央子,NECレッドロケッツ,13,37,47,8,47,64,24,3,37.5,32.8,0,0,0,2,59,4,2,23,3,2,0,30,,0.51,0.04,15.7,66.7
小口樹葉,デンソーエアリービーズ,9,26,44,7,65,0,0,0,,,0,0,0,0,0,0,0,0,262,154,0,0,,0.0,0.0,,58.8
小山綾菜,NECレッドロケッツ,12,37,47,8,13,41,12,2,29.3,24.4,2,0,0,0,28,2,2,11,38,12,0,14,0.0,0.92,0.0,15.2,31.6
小池杏菜,日立リヴァーレ,18,46,35,13,4,0,0,0,,,0,0,0,0,0,0,0,0,6,2,0,0,,0.0,0.0,,33.3
小田桃香,トヨタ車体クインシーズ,10,15,15,5,25,153,45,4,29.4,26.8,0,0,0,3,84,1,2,28,165,73,0,49,,1.8,0.12,8.9,44.2
小笹奈津子,埼玉上尾メディックス,17,18,32,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小野寺友香,日立リヴァーレ,2,7,5,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
居村杏奈,岡山シーガルズ,12,13,12,3,6,15,5,1,33.3,26.7,0,0,0,0,6,0,1,2,0,0,0,5,,0.83,0.0,4.2,
山口かなめ,NECレッドロケッツ,4,37,47,8,84,47,32,1,68.1,66.0,0,0,0,23,271,8,17,113,2,0,0,63,,0.38,0.27,11.8,0.0
