名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
パオリーニローレン,03,日立リヴァーレ,7,4,42,19,4,45.2,35.7,0,0,0,3,12,0,1,5,0,0,0,22,,4.8,0.8,8.3,
中大路絢野,03,久光製薬スプリングス,24,4,1,1,0,100.0,100.0,0,0,0,0,13,1,0,5,0,0,0,2,,0.2,0.0,17.3,
井上奈々朱,03,日立リヴァーレ,3,4,16,10,3,62.5,43.8,0,0,0,3,8,0,2,4,0,0,0,13,,2.5,0.8,6.2,
今村優香,03,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木美麗,03,日立リヴァーレ,14,3,13,4,1,30.8,23.1,1,0,1,0,2,0,0,0,4,1,0,4,0.0,1.3,0.0,0.0,25.0
佐藤あり紗,03,日立リヴァーレ,5,4,0,0,0,,,0,0,0,0,0,0,0,0,12,4,0,0,,0.0,0.0,,33.3
佐藤美弥,03,日立リヴァーレ,8,4,0,0,0,,,0,0,0,0,15,0,0,5,0,0,0,0,,0.0,0.0,8.3,
内瀬戸真実,03,日立リヴァーレ,10,4,37,7,2,18.9,13.5,0,0,0,0,15,1,1,7,46,21,0,8,,1.8,0.0,16.7,45.7
古藤千鶴,03,久光製薬スプリングス,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小池杏菜,03,日立リヴァーレ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岩坂名奈,03,久光製薬スプリングス,4,4,7,4,0,57.1,57.1,0,0,0,2,15,0,1,8,1,0,0,6,,1.0,0.5,11.7,0.0
座安琴希,03,久光製薬スプリングス,10,4,0,0,0,,,0,0,0,0,0,0,0,0,17,9,0,0,,0.0,0.0,,52.9
引地舞,03,日立リヴァーレ,6,4,0,0,0,,,0,0,0,0,6,1,0,2,0,0,0,1,,0.0,0.0,25.0,
戸江真奈,03,久光製薬スプリングス,18,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
斎田杏,03,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新鍋理沙,03,久光製薬スプリングス,3,4,52,22,2,42.3,38.5,0,0,0,1,13,0,0,9,11,8,0,23,,5.5,0.2,17.3,72.7
東原枝里,03,日立リヴァーレ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栄絵里香,03,久光製薬スプリングス,11,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
栗原恵,03,日立リヴァーレ,11,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
森谷史佳,03,久光製薬スプリングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
橋本直子,03,日立リヴァーレ,4,3,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
水田祐未,03,久光製薬スプリングス,5,4,10,3,0,30.0,30.0,0,0,0,3,7,0,0,2,0,0,0,6,,0.8,0.8,7.1,
渡邊久惠,03,日立リヴァーレ,9,4,37,12,1,32.4,29.7,11,3,1,1,10,1,1,3,2,0,0,14,27.3,3.0,0.2,15.0,0.0
石井優希,03,久光製薬スプリングス,6,4,41,13,3,31.7,24.4,1,0,0,1,21,0,0,12,50,26,0,14,0.0,3.2,0.2,14.3,52.0
石橋里紗,03,久光製薬スプリングス,23,4,0,0,0,,,0,0,0,0,7,1,0,4,0,0,0,1,,0.0,0.0,28.6,
遠井萌仁,03,日立リヴァーレ,12,4,34,9,0,26.5,26.5,0,0,0,0,15,0,1,6,29,16,0,9,,2.2,0.0,8.3,55.2
野本梨佳,03,久光製薬スプリングス,8,2,2,2,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,2,,1.0,0.0,,
長岡望悠,03,久光製薬スプリングス,1,4,54,23,2,42.6,38.9,19,10,1,0,16,0,1,8,0,0,0,23,52.6,5.8,0.0,10.9,
