得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,サーブミス,4,柳田,,,,,,,
0,1,-1,Behind,,,,,,,得点,,,
0,1,-1,Behind,,,,,,サーブ,8,及川,,
0,1,-1,Behind,レシーブ成功(優),16,小島,,,,,,,
0,1,-1,Behind,,12,山内,,,,,,,
0,1,-1,Behind,,,,,,,6,渡邊,,
0,1,-1,Behind,ブロック成功,13,山田,,,,,,,
1,1,0,Tie,,得点,,,,,,,,
1,1,0,Tie,サーブ,13,山田,,,,,,,
1,1,0,Tie,,,,,,レシーブ失敗,18,金田,,
1,1,0,Tie,,,,,,,4,吉岡,,
1,1,0,Tie,,2,古賀,,,,,,,
1,1,0,Tie,,,,,,,4,吉岡,,
1,1,0,Tie,,12,山内,,,,,,,
1,1,0,Tie,,,,,,アタック成功:,4,吉岡,,
1,2,-1,Behind,,,,,,,得点,,,
1,2,-1,Behind,,,,,,サーブ,6,渡邊,,
1,2,-1,Behind,レシーブ成功(優),2,古賀,,,,,,,
1,2,-1,Behind,アタック成功:,1,島村,,,,,,,
2,2,0,Tie,,得点,,,,,,,,
2,2,0,Tie,サーブ,12,山内,,,,,,,
2,2,0,Tie,,,,,,レシーブ成功(優),4,吉岡,,
2,2,0,Tie,,,,,,アタック成功:,4,吉岡,,
2,3,-1,Behind,,,,,,,得点,,,
2,3,-1,Behind,,,,,,サーブ,4,吉岡,,
2,3,-1,Behind,レシーブ成功(優),12,山内,,,,,,,
2,3,-1,Behind,アタック成功:,1,島村,,,,,,,
3,3,0,Tie,,得点,,,,,,,,
3,3,0,Tie,サーブ,2,古賀,,,,,,,
3,3,0,Tie,,,,,,レシーブ成功(優),4,吉岡,,
3,3,0,Tie,,,,,,アタック成功:,12,居村,,
3,4,-1,Behind,,,,,,,得点,,,
3,4,-1,Behind,,,,,,サーブ,12,居村,,
3,4,-1,Behind,レシーブ成功(優),2,古賀,,,,,,,
3,4,-1,Behind,アタック成功:,1,島村,,,,,,,
4,4,0,Tie,,得点,,,,,,,,
4,4,0,Tie,サーブ,1,島村,,,,,,,
4,4,0,Tie,,,,,,レシーブ成功(良),4,吉岡,,
4,4,0,Tie,,,,,,アタック成功:,18,金田,,
4,5,-1,Behind,,,,,,,得点,,,
4,5,-1,Behind,,,,,,サーブ,14,宮下(遥),,
4,5,-1,Behind,レシーブ成功(優),12,山内,,,,,,,
4,5,-1,Behind,,13,山田,,,,,,,
4,5,-1,Behind,,,,,,,18,金田,,
4,5,-1,Behind,,4,柳田,,,,,,,
4,5,-1,Behind,,,,,,,6,渡邊,,
4,5,-1,Behind,,4,柳田,,,,,,,
4,5,-1,Behind,,,,,,,18,金田,,
4,5,-1,Behind,,4,柳田,,,,,,,
4,5,-1,Behind,,4,柳田,,,,,,,
4,5,-1,Behind,,,,,,,18,金田,,
4,5,-1,Behind,,,,,,アタック成功:,8,及川,,
4,6,-2,Behind,,,,,,,得点,,,
4,6,-2,Behind,,,,,,サーブ,14,宮下(遥),,
4,6,-2,Behind,レシーブ失敗,2,古賀,,,,,,,
4,6,-2,Behind,,,,,,アタック成功:,18,金田,,
4,7,-3,Behind,,,,,,,得点,,,
4,7,-3,Behind,,,,,,サーブ,14,宮下(遥),,
4,7,-3,Behind,レシーブ成功(優),12,山内,,,,,,,
4,7,-3,Behind,,4,柳田,,,,,,,
4,7,-3,Behind,,4,柳田,,,,,,,
4,7,-3,Behind,,4,柳田,,,,,,,
4,7,-3,Behind,,,,,,,18,金田,,
4,7,-3,Behind,,13,山田,,,,,,,
4,7,-3,Behind,,,,,,,8,及川,,
4,7,-3,Behind,,12,山内,,,,,,,
4,7,-3,Behind,,12,山内,,,,,,,
4,7,-3,Behind,アタック成功:,13,山田,,,,,,,
5,7,-2,Behind,,得点,,,,,,,,
5,7,-2,Behind,サーブ,3,塚田,,,,,,,
5,7,-2,Behind,,,,,,レシーブ成功(優),18,金田,,
5,7,-2,Behind,,,,,,,6,渡邊,,
5,7,-2,Behind,,,,,,アタック成功:,8,及川,,
5,8,-3,Behind,,,,,,,得点,,,
5,8,-3,Behind,,,,,,,テクニカルタイムアウト,,,
5,8,-3,Behind,,,,,,サーブ,18,金田,,
5,8,-3,Behind,レシーブ成功(優),2,古賀,,,,,,,
5,8,-3,Behind,アタック成功:,12,山内,,,,,,,
6,8,-2,Behind,,得点,,,,,,,,
6,8,-2,Behind,サーブ,4,柳田,,,,,,,
6,8,-2,Behind,,,,,,レシーブ成功(優),27,楢崎,,
6,8,-2,Behind,,,,,,,6,渡邊,,
6,8,-2,Behind,,2,古賀,,,,,,,
6,8,-2,Behind,,,,,,アタック成功:,4,吉岡,,
6,9,-3,Behind,,,,,,,得点,,,
6,9,-3,Behind,,,,,,サーブ,8,及川,,
6,9,-3,Behind,レシーブ失敗,16,小島,,,,,,,
6,9,-3,Behind,アタック成功:,2,古賀,,,,,,,
7,9,-2,Behind,,得点,,,,,,,,
7,9,-2,Behind,サーブ,13,山田,,,,,,,
7,9,-2,Behind,,,,,,レシーブ成功(優),18,金田,,
7,9,-2,Behind,,,,,,アタック成功:,4,吉岡,,
7,10,-3,Behind,,,,,,,得点,,,
7,10,-3,Behind,,,,,,サーブ,6,渡邊,,
7,10,-3,Behind,レシーブ成功(優),2,古賀,,,,,,,
7,10,-3,Behind,,2,古賀,,,,,,,
7,10,-3,Behind,,1,島村,,,,,,,
7,10,-3,Behind,アタック成功:,12,山内,,,,,,,
8,10,-2,Behind,,得点,,,,,,,,
8,10,-2,Behind,サーブ,12,山内,,,,,,,
8,10,-2,Behind,,,,,,レシーブ成功(良),18,金田,,
8,10,-2,Behind,,,,,,,4,吉岡,,
8,10,-2,Behind,アタック成功:,2,古賀,,,,,,,
9,10,-1,Behind,,得点,,,,,,,,
9,10,-1,Behind,サーブ,12,山内,,,,,,,
9,10,-1,Behind,,,,,,レシーブ成功(良),4,吉岡,,
9,10,-1,Behind,,,,,,,6,渡邊,,
9,10,-1,Behind,アタック成功:,1,島村,,,,,,,
10,10,0,Tie,,得点,,,,,,,,
10,10,0,Tie,,,,,,,タイムアウト,,,
10,10,0,Tie,サーブ,12,山内,,,,,,,
10,10,0,Tie,,,,,,レシーブ成功(優),4,吉岡,,
10,10,0,Tie,,,,,,,12,居村,,
10,10,0,Tie,,2,古賀,,,,,,,
10,10,0,Tie,,,,,,,4,吉岡,,
10,10,0,Tie,アタック失敗,2,古賀,,,,,,,
10,11,-1,Behind,,,,,,,得点,,,
10,11,-1,Behind,,,,,,サーブ,4,吉岡,,
10,11,-1,Behind,レシーブ成功(優),12,山内,,,,,,,
10,11,-1,Behind,アタック成功:,1,島村,,,,,,,
11,11,0,Tie,,得点,,,,,,,,
11,11,0,Tie,サーブ,2,古賀,,,,,,,
11,11,0,Tie,,,,,,レシーブ失敗,27,楢崎,,
11,11,0,Tie,,,,,,,18,金田,,
11,11,0,Tie,アタック成功:,4,柳田,,,,,,,
12,11,1,Lead,,得点,,,,,,,,
12,11,1,Lead,サーブ,2,古賀,,,,,,,
12,11,1,Lead,,,,,,レシーブ成功(優),4,吉岡,,
12,11,1,Lead,,,,,,アタック成功:,12,居村,,
12,12,0,Tie,,,,,,,得点,,,
12,12,0,Tie,,,,,,サーブ,12,居村,,
12,12,0,Tie,レシーブ成功(良),12,山内,,,,,,,
12,12,0,Tie,アタック成功:,1,島村,,,,,,,
13,12,1,Lead,,得点,,,,,,,,
13,12,1,Lead,サーブ,1,島村,,,,,,,
13,12,1,Lead,,,,,,レシーブ失敗,4,吉岡,,
13,12,1,Lead,,,,,,,18,金田,,
13,12,1,Lead,アタック失敗,4,柳田,,,,,,,
13,13,0,Tie,,,,,,,得点,,,
13,13,0,Tie,,,,,,サーブ,14,宮下(遥),,
13,13,0,Tie,レシーブ失敗,12,山内,,,,,,,
13,13,0,Tie,アタック成功:,4,柳田,,,,,,,
14,13,1,Lead,,得点,,,,,,,,
14,13,1,Lead,サーブ,3,塚田,,,,,,,
14,13,1,Lead,,,,,,レシーブ成功(優),18,金田,,
14,13,1,Lead,,,,,,,18,金田,,
14,13,1,Lead,,4,柳田,,,,,,,
14,13,1,Lead,,,,,,,6,渡邊,,
14,13,1,Lead,,12,山内,,,,,,,
14,13,1,Lead,アタック成功:,12,山内,,,,,,,
15,13,2,Lead,,得点,,,,,,,,
15,13,2,Lead,サーブ,3,塚田,,,,,,,
15,13,2,Lead,,,,,,レシーブ成功(優),4,吉岡,,
15,13,2,Lead,,,,,,アタック成功:,8,及川,,
15,14,1,Lead,,,,,,,得点,,,
15,14,1,Lead,,,,,,メンバー交代:,IN:10,西村,OUT:18,金田
15,14,1,Lead,,,,,,サーブ,10,西村,,
15,14,1,Lead,レシーブ失敗,2,古賀,,,,,,,
15,14,1,Lead,,12,山内,,,,,,,
15,14,1,Lead,,4,柳田,,,,,,,
15,14,1,Lead,,12,山内,,,,,,,
15,14,1,Lead,,,,,,ブロック成功,8,及川,,
15,15,0,Tie,,,,,,,得点,,,
15,15,0,Tie,,,,,,サーブ,10,西村,,
15,15,0,Tie,レシーブ成功(優),2,古賀,,,,,,,
15,15,0,Tie,,12,山内,,,,,,,
15,15,0,Tie,アタック失敗,12,山内,,,,,,,
15,16,-1,Behind,,,,,,,得点,,,
15,16,-1,Behind,,,,,,,テクニカルタイムアウト,,,
15,16,-1,Behind,,,,,,サーブ,10,西村,,
