得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,サーブミス,9,廣瀬,,,,,,,
0,1,-1,Behind,,,,,,,得点,,,
0,1,-1,Behind,,,,,,サーブ,18,金田,,
0,1,-1,Behind,レシーブ失敗,12,山内,,,,,,,
0,1,-1,Behind,アタック成功:,12,山内,,,,,,,
1,1,0,Tie,,得点,,,,,,,,
1,1,0,Tie,サーブ,13,山田,,,,,,,
1,1,0,Tie,,,,,,レシーブ成功(優),27,楢崎,,
1,1,0,Tie,,,,,,アタック成功:,6,渡邊,,
1,2,-1,Behind,,,,,,,得点,,,
1,2,-1,Behind,,,,,,サーブ,28,川島,,
1,2,-1,Behind,レシーブ失敗,16,小島,,,,,,,
1,2,-1,Behind,,12,山内,,,,,,,
1,2,-1,Behind,アタック成功:,1,島村,,,,,,,
2,2,0,Tie,,得点,,,,,,,,
2,2,0,Tie,サーブ,12,山内,,,,,,,
2,2,0,Tie,,,,,,レシーブ失敗,4,吉岡,,
2,2,0,Tie,,2,古賀,,,,,,,
2,2,0,Tie,,,,,,アタック成功:,4,吉岡,,
2,3,-1,Behind,,,,,,,得点,,,
2,3,-1,Behind,,,,,,サーブ,6,渡邊,,
2,3,-1,Behind,レシーブ成功(優),16,小島,,,,,,,
2,3,-1,Behind,,1,島村,,,,,,,
2,3,-1,Behind,,,,,,アタック成功:,4,吉岡,,
2,4,-2,Behind,,,,,,,得点,,,
2,4,-2,Behind,,,,,,サーブ,6,渡邊,,
2,4,-2,Behind,レシーブ成功(優),2,古賀,,,,,,,
2,4,-2,Behind,アタック成功:,2,古賀,,,,,,,
3,4,-1,Behind,,得点,,,,,,,,
3,4,-1,Behind,サーブ,2,古賀,,,,,,,
3,4,-1,Behind,,,,,,レシーブ失敗,4,吉岡,,
3,4,-1,Behind,,,,,,,4,吉岡,,
3,4,-1,Behind,,1,島村,,,,,,,
3,4,-1,Behind,アタック成功:,9,廣瀬,,,,,,,
4,4,0,Tie,,得点,,,,,,,,
4,4,0,Tie,サーブ,2,古賀,,,,,,,
4,4,0,Tie,,,,,,レシーブ成功(優),4,吉岡,,
4,4,0,Tie,,,,,,,12,居村,,
4,4,0,Tie,ブロック成功,9,廣瀬,,,,,,,
5,4,1,Lead,,得点,,,,,,,,
5,4,1,Lead,サーブ,2,古賀,,,,,,,
5,4,1,Lead,,,,,,レシーブ成功(良),4,吉岡,,
5,4,1,Lead,,,,,,アタック成功:,4,吉岡,,
5,5,0,Tie,,,,,,,得点,,,
5,5,0,Tie,,,,,,サーブ,4,吉岡,,
5,5,0,Tie,レシーブ成功(優),2,古賀,,,,,,,
5,5,0,Tie,,9,廣瀬,,,,,,,
5,5,0,Tie,,,,,,アタック成功:,18,金田,,
5,6,-1,Behind,,,,,,,得点,,,
5,6,-1,Behind,,,,,,サーブ,4,吉岡,,
5,6,-1,Behind,レシーブ成功(優),2,古賀,,,,,,,
5,6,-1,Behind,,1,島村,,,,,,,
5,6,-1,Behind,,,,,,,18,金田,,
5,6,-1,Behind,,1,島村,,,,,,,
5,6,-1,Behind,,1,島村,,,,,,,
5,6,-1,Behind,,,,,,アタック成功:,18,金田,,
5,7,-2,Behind,,,,,,,得点,,,
5,7,-2,Behind,,,,,,サーブ,4,吉岡,,
5,7,-2,Behind,レシーブ成功(優),12,山内,,,,,,,
5,7,-2,Behind,,9,廣瀬,,,,,,,
5,7,-2,Behind,,,,,,,18,金田,,
5,7,-2,Behind,,1,島村,,,,,,,
5,7,-2,Behind,,,,,,,12,居村,,
5,7,-2,Behind,アタック成功:,9,廣瀬,,,,,,,
6,7,-1,Behind,,得点,,,,,,,,
6,7,-1,Behind,サーブ,1,島村,,,,,,,
6,7,-1,Behind,,,,,,レシーブ成功(優),18,金田,,
6,7,-1,Behind,,,,,,,12,居村,,
6,7,-1,Behind,,9,廣瀬,,,,,,,
6,7,-1,Behind,,,,,,アタック成功:,18,金田,,
6,8,-2,Behind,,,,,,,得点,,,
6,8,-2,Behind,,,,,,,テクニカルタイムアウト,,,
6,8,-2,Behind,,,,,,サーブ,12,居村,,
6,8,-2,Behind,レシーブ成功(優),2,古賀,,,,,,,
6,8,-2,Behind,,9,廣瀬,,,,,,,
6,8,-2,Behind,,,,,,,18,金田,,
6,8,-2,Behind,,9,廣瀬,,,,,,,
6,8,-2,Behind,,,,,,,18,金田,,
6,8,-2,Behind,アタック成功:,13,山田,,,,,,,
7,8,-1,Behind,,得点,,,,,,,,
7,8,-1,Behind,サーブ,3,塚田,,,,,,,
7,8,-1,Behind,,,,,,レシーブ成功(優),4,吉岡,,
7,8,-1,Behind,,,,,,,28,川島,,
7,8,-1,Behind,アタック成功:,13,山田,,,,,,,
8,8,0,Tie,,得点,,,,,,,,
8,8,0,Tie,サーブ,3,塚田,,,,,,,
8,8,0,Tie,,,,,,レシーブ成功(優),4,吉岡,,
8,8,0,Tie,,,,,,アタック成功:,18,金田,,
8,9,-1,Behind,,,,,,,得点,,,
8,9,-1,Behind,,,,,,サーブ,14,宮下(遥),,
8,9,-1,Behind,レシーブ成功(優),12,山内,,,,,,,
8,9,-1,Behind,,13,山田,,,,,,,
8,9,-1,Behind,,,,,,ブロック成功,28,川島,,
8,10,-2,Behind,,,,,,,得点,,,
8,10,-2,Behind,,,,,,サーブ,14,宮下(遥),,
8,10,-2,Behind,レシーブ成功(優),12,山内,,,,,,,
8,10,-2,Behind,アタック成功:,12,山内,,,,,,,
9,10,-1,Behind,,得点,,,,,,,,
9,10,-1,Behind,サーブミス,9,廣瀬,,,,,,,
9,11,-2,Behind,,,,,,,得点,,,
9,11,-2,Behind,,,,,,サーブ,18,金田,,
9,11,-2,Behind,レシーブ成功(優),16,小島,,,,,,,
9,11,-2,Behind,,12,山内,,,,,,,
9,11,-2,Behind,,,,,,,6,渡邊,,
9,11,-2,Behind,アタック成功:,12,山内,,,,,,,
10,11,-1,Behind,,得点,,,,,,,,
10,11,-1,Behind,サーブ,13,山田,,,,,,,
10,11,-1,Behind,,,,,,レシーブ成功(優),4,吉岡,,
10,11,-1,Behind,,,,,,,4,吉岡,,
10,11,-1,Behind,,,,,,アタック成功:,4,吉岡,,
10,12,-2,Behind,,,,,,,得点,,,
10,12,-2,Behind,,,,,,サーブ,28,川島,,
10,12,-2,Behind,レシーブ失敗,12,山内,,,,,,,
10,12,-2,Behind,,2,古賀,,,,,,,
10,12,-2,Behind,アタック成功:,12,山内,,,,,,,
11,12,-1,Behind,,得点,,,,,,,,
11,12,-1,Behind,サーブ,12,山内,,,,,,,
11,12,-1,Behind,,,,,,レシーブ成功(優),4,吉岡,,
11,12,-1,Behind,,,,,,,6,渡邊,,
11,12,-1,Behind,アタック成功:,2,古賀,,,,,,,
12,12,0,Tie,,得点,,,,,,,,
12,12,0,Tie,サーブ,12,山内,,,,,,,
12,12,0,Tie,,,,,,レシーブ成功(優),18,金田,,
12,12,0,Tie,,,,,,アタック成功:,4,吉岡,,
12,13,-1,Behind,,,,,,,得点,,,
12,13,-1,Behind,,,,,,サーブミス,6,渡邊,,
13,13,0,Tie,,得点,,,,,,,,
13,13,0,Tie,,,,,,メンバー交代:,IN:5,宇賀神,OUT:6,渡邊
13,13,0,Tie,,,,,,メンバー交代:,IN:21,高野,OUT:14,宮下(遥)
13,13,0,Tie,メンバー交代:,IN:4,柳田,OUT:9,廣瀬,,,,,
13,13,0,Tie,サーブ,2,古賀,,,,,,,
13,13,0,Tie,,,,,,レシーブ失敗,18,金田,,
13,13,0,Tie,アタック成功:,1,島村,,,,,,,
14,13,1,Lead,,得点,,,,,,,,
14,13,1,Lead,サーブ,2,古賀,,,,,,,
14,13,1,Lead,,,,,,レシーブ失敗,12,居村,,
14,13,1,Lead,,,,,,アタック失敗,4,吉岡,,
15,13,2,Lead,,得点,,,,,,,,
15,13,2,Lead,,,,,,,タイムアウト,,,
15,13,2,Lead,サーブ,2,古賀,,,,,,,
15,13,2,Lead,,,,,,レシーブ失敗,4,吉岡,,
15,13,2,Lead,,,,,,,4,吉岡,,
15,13,2,Lead,,12,山内,,,,,,,
15,13,2,Lead,,,,,,,4,吉岡,,
15,13,2,Lead,アタック成功:,4,柳田,,,,,,,
16,13,3,Lead,,得点,,,,,,,,
16,13,3,Lead,,テクニカルタイムアウト,,,,,,,,
16,13,3,Lead,サーブ,2,古賀,,,,,,,
16,13,3,Lead,,,,,,レシーブ成功(優),18,金田,,
16,13,3,Lead,,,,,,,21,高野,,
16,13,3,Lead,アタック成功:,4,柳田,,,,,,,
17,13,4,Lead,,得点,,,,,,,,
17,13,4,Lead,,,,,,メンバー交代:,IN:10,西村,OUT:4,吉岡
17,13,4,Lead,サーブ,2,古賀,,,,,,,
17,13,4,Lead,,,,,,レシーブ成功(良),10,西村,,
17,13,4,Lead,,,,,,,10,西村,,
17,13,4,Lead,,,,,,,10,西村,,
17,13,4,Lead,アタック成功:,1,島村,,,,,,,
18,13,5,Lead,,得点,,,,,,,,
18,13,5,Lead,,,,,,,タイムアウト,,,
18,13,5,Lead,サーブ,2,古賀,,,,,,,
18,13,5,Lead,,,,,,レシーブ成功(優),27,楢崎,,
18,13,5,Lead,,,,,,,10,西村,,
18,13,5,Lead,アタック成功:,4,柳田,,,,,,,
19,13,6,Lead,,得点,,,,,,,,
19,13,6,Lead,,,,,,メンバー交代:,IN:26,長瀬,OUT:12,居村
19,13,6,Lead,サーブ,2,古賀,,,,,,,
19,13,6,Lead,,,,,,レシーブ成功(優),10,西村,,
19,13,6,Lead,,1,島村,,,,,,,
19,13,6,Lead,,,,,,,10,西村,,
19,13,6,Lead,ブロック成功,1,島村,,,,,,,
20,13,7,Lead,,得点,,,,,,,,
20,13,7,Lead,,,,,,メンバー交代:,IN:4,吉岡,OUT:10,西村
20,13,7,Lead,サーブ,2,古賀,,,,,,,
20,13,7,Lead,,,,,,レシーブ成功(優),18,金田,,
20,13,7,Lead,,,,,,アタック成功:,21,高野,,
20,14,6,Lead,,,,,,,得点,,,
20,14,6,Lead,,,,,,サーブ,4,吉岡,,
20,14,6,Lead,レシーブ成功(優),12,山内,,,,,,,
20,14,6,Lead,アタック失敗,1,島村,,,,,,,
20,15,5,Lead,,,,,,,得点,,,
20,15,5,Lead,,,,,,サーブ,4,吉岡,,
20,15,5,Lead,レシーブ成功(良),12,山内,,,,,,,
20,15,5,Lead,アタック成功:,4,柳田,,,,,,,
21,15,6,Lead,,得点,,,,,,,,
21,15,6,Lead,サーブ,1,島村,,,,,,,
21,15,6,Lead,,,,,,レシーブ成功(優),4,吉岡,,
21,15,6,Lead,,,,,,,21,高野,,
21,15,6,Lead,,4,柳田,,,,,,,
21,15,6,Lead,,,,,,アタック成功:,18,金田,,
21,16,5,Lead,,,,,,,得点,,,
21,16,5,Lead,,,,,,サーブミス,26,長瀬,,
22,16,6,Lead,,得点,,,,,,,,
22,16,6,Lead,サーブ,3,塚田,,,,,,,
22,16,6,Lead,,,,,,レシーブ失敗,4,吉岡,,
22,16,6,Lead,,,,,,アタック成功:,18,金田,,
22,17,5,Lead,,,,,,,得点,,,
22,17,5,Lead,,,,,,メンバー交代:,IN:14,宮下(遥),OUT:21,高野
22,17,5,Lead,,,,,,サーブ,14,宮下(遥),,
22,17,5,Lead,レシーブ成功(優),12,山内,,,,,,,
22,17,5,Lead,,12,山内,,,,,,,
22,17,5,Lead,,,,,,,18,金田,,
22,17,5,Lead,,13,山田,,,,,,,
22,17,5,Lead,,,,,,,5,宇賀神,,
22,17,5,Lead,アタック成功:,12,山内,,,,,,,
23,17,6,Lead,,得点,,,,,,,,
23,17,6,Lead,サーブ,4,柳田,,,,,,,
23,17,6,Lead,,,,,,レシーブ成功(優),4,吉岡,,
23,17,6,Lead,,,,,,,28,川島,,
23,17,6,Lead,,2,古賀,,,,,,,
23,17,6,Lead,,,,,,アタック成功:,18,金田,,
23,18,5,Lead,,,,,,,得点,,,
23,18,5,Lead,,,,,,サーブ,18,金田,,
23,18,5,Lead,レシーブ成功(優),16,小島,,,,,,,
23,18,5,Lead,アタック成功:,12,山内,,,,,,,
24,18,6,Lead,,得点,,,,,,,,
24,18,6,Lead,サーブ,13,山田,,,,,,,
24,18,6,Lead,,,,,,レシーブ失敗,4,吉岡,,
24,18,6,Lead,,,,,,,28,川島,,
24,18,6,Lead,,,,,,アタック成功:,4,吉岡,,
