得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,,,,,,メンバー交代:,IN:18,金田,OUT:12,居村
0,0,0,Tie,,,,,,サーブ,14,宮下(遥),,
0,0,0,Tie,レシーブ成功(優),16,小島,,,,,,,
0,0,0,Tie,アタック成功:,5,曽我,,,,,,,
1,0,1,Lead,,得点,,,,,,,,
1,0,1,Lead,サーブ,13,山田,,,,,,,
1,0,1,Lead,,,,,,レシーブ成功(優),4,吉岡,,
1,0,1,Lead,,,,,,アタック成功:,28,川島,,
1,1,0,Tie,,,,,,,得点,,,
1,1,0,Tie,,,,,,サーブ,18,金田,,
1,1,0,Tie,レシーブ成功(優),2,古賀,,,,,,,
1,1,0,Tie,,5,曽我,,,,,,,
1,1,0,Tie,,,,,,アタック成功:,4,吉岡,,
1,2,-1,Behind,,,,,,,得点,,,
1,2,-1,Behind,,,,,,サーブ,18,金田,,
1,2,-1,Behind,レシーブ成功(良),2,古賀,,,,,,,
1,2,-1,Behind,,2,古賀,,,,,,,
1,2,-1,Behind,,5,曽我,,,,,,,
1,2,-1,Behind,,2,古賀,,,,,,,
1,2,-1,Behind,,,,,,,4,吉岡,,
1,2,-1,Behind,,5,曽我,,,,,,,
1,2,-1,Behind,,5,曽我,,,,,,,
1,2,-1,Behind,,,,,,,6,渡邊,,
1,2,-1,Behind,,,,,,,4,吉岡,,
1,2,-1,Behind,,2,古賀,,,,,,,
1,2,-1,Behind,,,,,,アタック失敗,6,渡邊,,
2,2,0,Tie,,得点,,,,,,,,
2,2,0,Tie,サーブ,5,曽我,,,,,,,
2,2,0,Tie,,,,,,レシーブ成功(良),18,金田,,
2,2,0,Tie,,,,,,,4,吉岡,,
2,2,0,Tie,,2,古賀,,,,,,,
2,2,0,Tie,,,,,,アタック成功:,4,吉岡,,
2,3,-1,Behind,,,,,,,得点,,,
2,3,-1,Behind,,,,,,サーブ,28,川島,,
2,3,-1,Behind,レシーブ失敗,16,小島,,,,,,,
2,3,-1,Behind,その他ミス,1,島村,,,,,,,
2,4,-2,Behind,,,,,,,得点,,,
2,4,-2,Behind,,,,,,サーブ,28,川島,,
2,4,-2,Behind,レシーブ失敗,16,小島,,,,,,,
2,4,-2,Behind,,2,古賀,,,,,,,
2,4,-2,Behind,,,,,,,4,吉岡,,
2,4,-2,Behind,,1,島村,,,,,,,
2,4,-2,Behind,,,,,,アタック成功:,6,渡邊,,
2,5,-3,Behind,,,,,,,得点,,,
2,5,-3,Behind,,,,,,サーブ,28,川島,,
2,5,-3,Behind,レシーブ成功(優),2,古賀,,,,,,,
2,5,-3,Behind,アタック成功:,1,島村,,,,,,,
3,5,-2,Behind,,得点,,,,,,,,
3,5,-2,Behind,サーブ,2,古賀,,,,,,,
3,5,-2,Behind,,,,,,レシーブ成功(優),18,金田,,
3,5,-2,Behind,,,,,,,4,吉岡,,
3,5,-2,Behind,,1,島村,,,,,,,
3,5,-2,Behind,,,,,,アタック成功:,4,吉岡,,
3,6,-3,Behind,,,,,,,得点,,,
3,6,-3,Behind,,,,,,サーブ,6,渡邊,,
3,6,-3,Behind,レシーブ失敗,5,曽我,,,,,,,
