名前,チーム,背番号,月,出場数,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
サンティアゴアライジャダフニ,埼玉上尾メディックス,3,1,3,0.0,0.0,16,9,1,56.2,50.0,0,0,0,1,12,0,0,5,0,0,0,10,,3.0,0.33,10.4,
シニアードジャック,デンソーエアリービーズ,18,1,3,0.0,0.0,14,6,2,42.9,28.6,0,0,0,6,6,1,0,1,1,1,0,13,,2.0,2.0,20.8,100.0
シュシュニャルカタリナ,埼玉上尾メディックス,17,1,3,0.0,0.0,54,22,0,40.7,40.7,11,4,0,2,11,0,1,1,1,0,0,24,36.4,7.33,0.67,0.0,0.0
ジャンティタントゥイー,デンソーエアリービーズ,22,1,3,0.0,0.0,33,11,2,33.3,27.3,3,1,1,1,7,0,2,3,0,0,0,12,33.3,3.67,0.33,3.6,
三浦茉実,埼玉上尾メディックス,9,1,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中元南,デンソーエアリービーズ,1,1,1,0.0,0.0,3,0,1,0.0,-33.3,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
井上琴絵,デンソーエアリービーズ,11,1,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,20,9,4,0,,0.0,0.0,,55.0
井上美咲,埼玉上尾メディックス,13,1,3,0.0,0.0,2,1,0,50.0,50.0,0,0,0,0,10,0,0,3,0,0,0,1,,0.33,0.0,7.5,
仁井田桃子,埼玉上尾メディックス,19,1,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤優花,埼玉上尾メディックス,10,1,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
兵頭由希,デンソーエアリービーズ,24,1,3,0.0,0.0,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
冨永こよみ,埼玉上尾メディックス,2,1,2,0.0,0.0,0,0,0,,,0,0,0,0,6,1,0,3,0,0,0,1,,0.0,0.0,29.2,
吉野優理,埼玉上尾メディックス,8,1,3,0.0,0.0,33,15,1,45.5,42.4,0,0,0,0,14,1,1,4,27,13,6,16,,5.0,0.0,12.5,59.3
堀江美志,埼玉上尾メディックス,4,1,3,0.0,0.0,24,5,1,20.8,16.7,3,0,1,0,11,1,0,5,15,3,8,6,0.0,1.67,0.0,20.5,46.7
大室璃紗,埼玉上尾メディックス,23,1,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,7,3,2,0,,0.0,0.0,,57.1
奥村麻依,デンソーエアリービーズ,13,1,3,0.0,0.0,11,5,0,45.5,45.5,0,0,0,1,10,0,1,1,2,0,1,6,,1.67,0.33,0.0,25.0
山口珠李,埼玉上尾メディックス,6,1,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山岸あかね,埼玉上尾メディックス,7,1,3,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,9,5,2,0,,0.0,0.0,,66.7
工藤嶺,デンソーエアリービーズ,21,1,3,0.0,0.0,30,9,1,30.0,26.7,4,0,1,1,8,0,0,2,17,5,8,10,0.0,3.0,0.33,6.2,52.9
早坂梢依,デンソーエアリービーズ,7,1,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
朝日優衣,デンソーエアリービーズ,3,1,2,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,4,0,1,0,,0.0,0.0,,12.5
東谷玲衣奈,デンソーエアリービーズ,20,1,1,0.0,0.0,2,1,1,50.0,0.0,1,0,1,0,1,0,0,0,1,1,0,1,0.0,1.0,0.0,0.0,100.0
森谷史佳,デンソーエアリービーズ,10,1,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
椎名真子,埼玉上尾メディックス,14,1,0,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田代佳奈美,デンソーエアリービーズ,6,1,3,0.0,0.0,1,0,0,0.0,0.0,0,0,0,1,12,0,0,4,0,0,0,1,,0.0,0.33,8.3,
田原愛里,デンソーエアリービーズ,8,1,1,0.0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
鍋谷友理枝,デンソーエアリービーズ,15,1,3,0.0,0.0,39,10,4,25.6,15.4,1,0,0,1,15,0,1,6,25,9,5,11,0.0,3.33,0.33,8.3,46.0
青柳京古,埼玉上尾メディックス,11,1,3,0.0,0.0,9,2,0,22.2,22.2,0,0,0,0,10,0,1,3,2,0,1,2,,0.67,0.0,5.0,25.0
