名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,02,NECレッドロケッツ,3,11,41,10,3,24.4,17.1,5,1,0,5,10,0,0,1,0,0,0,15,20.0,0.9,0.5,2.5,
パオリーニローレン,02,日立リヴァーレ,7,20,185,87,10,47.0,41.6,0,0,0,14,58,4,9,16,4,1,0,105,,4.4,0.7,9.9,25.0
ポリーナラヒモワ,02,トヨタ車体クインシーズ,17,20,351,147,37,41.9,31.3,114,49,20,9,76,14,15,26,1,1,0,170,43.0,7.4,0.4,22.0,100.0
上野香織,02,NECレッドロケッツ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,02,東レアローズ,12,6,0,0,0,,,0,0,0,0,8,0,0,5,0,0,0,0,,0.0,0.0,15.6,
中大路絢野,02,久光製薬スプリングス,24,10,5,1,0,20.0,20.0,0,0,0,1,41,0,3,13,1,0,0,2,,0.1,0.1,6.1,0.0
中川有美,02,東レアローズ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山亜季,02,岡山シーガルズ,20,21,0,0,0,,,0,0,0,0,0,0,0,0,57,33,0,0,,0.0,0.0,,57.9
井上奈々朱,02,日立リヴァーレ,3,20,85,45,8,52.9,43.5,0,0,0,11,43,1,8,17,1,1,0,57,,2.2,0.6,7.6,100.0
今村優香,02,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今野加奈子,02,岡山シーガルズ,3,15,97,30,5,30.9,25.8,1,0,0,2,25,1,1,7,49,28,0,33,0.0,2.0,0.1,10.0,57.1
伊藤望,02,東レアローズ,15,19,93,38,8,40.9,32.3,0,0,0,6,70,7,11,20,1,1,0,51,,2.0,0.3,13.2,100.0
佐々木美麗,02,日立リヴァーレ,14,20,215,71,17,33.0,25.1,21,7,3,4,61,5,4,15,33,21,0,80,33.3,3.6,0.2,12.7,63.6
佐々木萌,02,岡山シーガルズ,7,18,152,37,4,24.3,21.7,0,0,0,4,37,4,1,11,96,50,0,45,,2.1,0.2,17.6,52.1
佐藤あり紗,02,日立リヴァーレ,5,16,0,0,0,,,0,0,0,0,0,0,0,0,59,40,0,0,,0.0,0.0,,67.8
佐藤澪,02,トヨタ車体クインシーズ,15,20,0,0,0,,,0,0,0,0,0,0,0,0,76,40,0,0,,0.0,0.0,,52.6
佐藤美弥,02,日立リヴァーレ,8,20,13,3,0,23.1,23.1,0,0,0,6,82,3,4,38,0,0,0,12,,0.2,0.3,14.0,
内瀬戸真実,02,日立リヴァーレ,10,20,135,34,8,25.2,19.3,5,0,1,5,95,4,1,42,122,77,0,43,0.0,1.7,0.2,15.0,63.1
南波美紅,02,久光製薬スプリングス,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古藤千鶴,02,久光製薬スプリングス,2,7,3,0,0,0.0,0.0,0,0,0,1,32,1,2,11,1,0,0,2,,0.0,0.1,10.2,0.0
古賀紗理那,02,NECレッドロケッツ,2,20,177,67,9,37.9,32.8,14,2,2,8,74,1,7,23,113,64,0,76,14.3,3.4,0.4,6.8,56.6
吉田みなみ,02,岡山シーガルズ,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
堀川真理,02,東レアローズ,9,7,6,1,1,16.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.1,0.0,,
大野果奈,02,NECレッドロケッツ,5,20,95,39,1,41.1,40.0,0,0,0,8,71,1,0,23,4,1,0,48,,2.0,0.4,9.5,25.0
大野果歩,02,東レアローズ,11,16,33,13,2,39.4,33.3,0,0,0,11,45,1,4,19,0,0,0,25,,0.8,0.7,10.6,
奥山優奈,02,NECレッドロケッツ,16,7,2,0,0,0.0,0.0,0,0,0,0,7,0,1,0,0,0,0,0,,0.0,0.0,-3.6,
宇賀神みずき,02,岡山シーガルズ,5,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
宮下遥,02,岡山シーガルズ,14,21,17,8,0,47.1,47.1,0,0,0,5,76,1,4,32,2,0,0,14,,0.4,0.2,10.5,0.0
家高七央子,02,NECレッドロケッツ,13,3,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
小山綾菜,02,NECレッドロケッツ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小池杏菜,02,日立リヴァーレ,18,8,0,0,0,,,0,0,0,0,0,0,0,0,30,13,0,0,,0.0,0.0,,43.3
小田桃香,02,トヨタ車体クインシーズ,10,20,121,36,7,29.8,24.0,1,0,0,1,58,2,2,11,149,85,0,39,0.0,1.8,0.0,7.3,57.0
小野寺友香,02,日立リヴァーレ,2,4,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
居村杏奈,02,岡山シーガルズ,12,8,18,8,0,44.4,44.4,0,0,0,1,19,1,2,5,7,3,0,10,,1.0,0.1,9.2,42.9
山口かなめ,02,NECレッドロケッツ,4,20,9,4,1,44.4,33.3,0,0,0,2,75,2,6,27,1,0,0,8,,0.2,0.1,9.7,0.0
山口舞,02,岡山シーガルズ,2,18,95,35,3,36.8,33.7,0,0,0,7,25,0,0,0,1,1,0,42,,1.9,0.4,0.0,100.0
山田真里,02,トヨタ車体クインシーズ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岩坂名奈,02,久光製薬スプリングス,4,16,60,25,1,41.7,40.0,0,0,0,17,60,2,8,23,2,2,0,44,,1.6,1.1,9.6,100.0
岩崎紗也加,02,NECレッドロケッツ,10,15,0,0,0,,,0,0,0,0,0,0,0,0,15,10,0,0,,0.0,0.0,,66.7
峯村沙紀,02,東レアローズ,6,6,9,4,1,44.4,33.3,0,0,0,1,2,0,0,1,14,6,0,5,,0.7,0.2,12.5,42.9
島村春世,02,NECレッドロケッツ,7,20,144,53,5,36.8,33.3,2,1,0,11,73,6,3,27,9,5,0,70,50.0,2.6,0.6,16.4,55.6
川島亜依美,02,岡山シーガルズ,28,15,58,23,3,39.7,34.5,0,0,0,1,60,3,2,26,0,0,0,27,,1.5,0.1,15.0,
川村小捺,02,日立リヴァーレ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川畑夏希,02,岡山シーガルズ,24,6,0,0,0,,,0,0,0,0,4,0,1,1,4,3,0,0,,0.0,0.0,0.0,75.0
川畑愛希,02,岡山シーガルズ,8,21,239,64,9,26.8,23.0,0,0,0,3,59,1,1,21,92,43,0,68,,3.0,0.1,10.2,46.7
平松美有紀,02,トヨタ車体クインシーズ,5,20,93,33,5,35.5,30.1,0,0,0,9,49,3,4,13,3,2,0,45,,1.6,0.4,10.7,66.7
座安琴希,02,久光製薬スプリングス,10,15,0,0,0,,,0,0,0,0,0,0,0,0,48,37,0,0,,0.0,0.0,,77.1
引地舞,02,日立リヴァーレ,6,16,0,0,0,,,0,0,0,0,20,2,2,11,0,0,0,2,,0.0,0.0,21.2,
志智真梨奈,02,トヨタ車体クインシーズ,19,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
戸江真奈,02,久光製薬スプリングス,18,16,0,0,0,,,0,0,0,0,0,0,0,0,14,9,0,0,,0.0,0.0,,64.3
斎田杏,02,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新鍋理沙,02,久光製薬スプリングス,3,16,163,45,5,27.6,24.5,2,0,0,8,68,5,9,27,57,43,0,58,0.0,2.8,0.5,14.0,75.4
木村沙織,02,東レアローズ,3,19,208,81,8,38.9,35.1,19,6,2,5,84,5,4,31,107,73,0,91,31.6,4.3,0.3,14.0,68.2
木村美里,02,東レアローズ,8,19,0,0,0,,,0,0,0,0,0,0,0,0,85,54,0,0,,0.0,0.0,,63.5
杉原若葉,02,東レアローズ,16,3,0,0,0,,,0,0,0,0,3,0,2,1,0,0,0,0,,0.0,0.0,-8.3,
村永奈央,02,トヨタ車体クインシーズ,13,9,41,7,0,17.1,17.1,1,0,0,2,19,1,0,6,49,30,0,10,0.0,0.8,0.2,13.2,61.2
東原枝里,02,日立リヴァーレ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
林日向子,02,岡山シーガルズ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
柳田光綺,02,NECレッドロケッツ,15,19,176,56,3,31.8,30.1,41,12,1,6,47,0,4,17,1,1,0,62,29.3,2.9,0.3,6.9,100.0
栄絵里香,02,久光製薬スプリングス,11,6,0,0,0,,,0,0,0,0,6,0,0,2,0,0,0,0,,0.0,0.0,8.3,
栗原恵,02,日立リヴァーレ,11,7,42,16,2,38.1,33.3,3,1,0,4,10,0,5,1,0,0,0,20,33.3,2.3,0.6,-10.0,
森優紀,02,東レアローズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森田夕貴,02,岡山シーガルズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森谷史佳,02,久光製薬スプリングス,14,5,4,2,0,50.0,50.0,0,0,0,0,13,0,0,8,2,2,0,2,,0.4,0.0,15.4,100.0
楢崎慈恵,02,岡山シーガルズ,27,9,0,0,0,,,0,0,0,0,0,0,0,0,10,6,0,0,,0.0,0.0,,60.0
橋本直子,02,日立リヴァーレ,4,11,0,0,0,,,0,0,0,0,15,1,1,4,0,0,0,1,,0.0,0.0,11.7,
比金桃子,02,トヨタ車体クインシーズ,18,5,0,0,0,,,0,0,0,0,8,0,0,1,0,0,0,0,,0.0,0.0,3.1,
水田祐未,02,久光製薬スプリングス,5,14,56,23,2,41.1,37.5,0,0,0,4,29,0,0,10,17,11,0,27,,1.6,0.3,8.6,64.7
泉夏子,02,岡山シーガルズ,55,18,80,19,2,23.8,21.2,4,1,1,1,39,2,2,12,47,25,0,22,25.0,1.1,0.1,11.5,53.2
浅津ゆうこ,02,岡山シーガルズ,6,19,116,45,9,38.8,31.0,5,1,0,5,50,1,3,18,45,21,0,51,20.0,2.4,0.3,9.5,46.7
渡邊久惠,02,日立リヴァーレ,9,2,33,13,1,39.4,36.4,5,3,0,0,8,0,1,2,0,0,0,13,60.0,6.5,0.0,3.1,
熊本比奈,02,トヨタ車体クインシーズ,2,4,2,0,0,0.0,0.0,0,0,0,0,6,0,0,1,8,5,0,0,,0.0,0.0,4.2,62.5
田代佳奈美,02,東レアローズ,7,18,9,6,0,66.7,66.7,0,0,0,4,68,5,5,25,1,0,0,15,,0.3,0.2,14.7,0.0
白井美沙紀,02,東レアローズ,19,9,0,0,0,,,0,0,0,0,14,0,2,4,0,0,0,0,,0.0,0.0,3.6,
白垣里紗,02,NECレッドロケッツ,1,17,32,6,0,18.8,18.8,0,0,0,0,1,0,1,0,0,0,0,6,,0.4,0.0,-25.0,
石井優希,02,久光製薬スプリングス,6,16,199,59,11,29.6,24.1,14,5,1,3,64,3,3,28,208,137,0,65,35.7,3.7,0.2,14.5,65.9
