試合日,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,1,L,吉田みなみ,1,〇,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,2,,山口舞,5,■,■,■,■,■,25,14,1,56.0,52.0,2.80,0,0,0,-,2,0.40,6,0,0,0,0.0,0,0,0,-,16
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,3,,今野加奈子,1,nan,nan,nan,nan,□,7,3,0,42.9,42.9,3.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,3
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,6,,浅津ゆうこ,5,■,■,■,■,■,26,8,0,30.8,30.8,1.60,1,0,0,0.0,0,-,21,0,2,9,10.7,10,4,0,40.0,8
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,7,,佐々木萌,5,■,■,■,■,■,55,18,2,32.7,29.1,3.60,0,0,0,-,2,0.40,16,1,0,7,17.2,26,16,0,61.5,21
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,8,,川畑愛希,5,■,■,■,■,■,46,20,2,43.5,39.1,4.00,0,0,0,-,2,0.40,18,0,0,10,13.9,20,11,0,55.0,22
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,11,,香野晶子,5,■,■,■,■,■,18,4,1,22.2,16.7,0.80,0,0,0,-,1,0.20,20,1,1,6,11.5,0,0,0,-,6
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,14,,宮下遥,5,■,■,■,■,■,4,2,0,50.0,50.0,0.40,0,0,0,-,1,0.20,17,0,1,7,10.3,0,0,0,-,3
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,17,,林日向子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,18,,金田修佳,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,7,4,0,57.1,0
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,20,L,丸山亜季,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,11,0,73.3,0
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,24,,川畑夏希,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,6.2,4,3,0,75.0,0
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,28,,川島亜依美,2,nan,□,nan,nan,□,2,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0,0,-,0
2016-02-07,02,岡山シーガルズ,トヨタ車体クインシーズ,55,,泉夏子,4,□,□,nan,□,□,14,3,1,21.4,14.3,0.75,1,1,0,100.0,0,-,8,1,0,4,25.0,12,8,0,66.7,4
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,1,,竹田沙希,5,■,■,□,□,■,17,5,2,29.4,17.6,1.00,0,0,0,-,1,0.20,6,0,0,3,12.5,35,16,0,45.7,6
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,2,,熊本比奈,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,3,,高橋沙織,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,4,,藤田夏未,5,■,■,□,■,■,1,1,0,100.0,100.0,0.20,0,0,0,-,1,0.20,16,0,1,8,12.5,0,0,0,-,2
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,5,,平松美有紀,5,■,■,■,■,■,29,6,2,20.7,13.8,1.20,0,0,0,-,3,0.60,7,0,0,0,0.0,1,1,0,100.0,9
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,6,,衛藤智美,4,□,□,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,8,1,0,2,18.8,0,0,0,-,1
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,10,,小田桃香,5,■,■,■,■,■,31,10,3,32.3,22.6,2.00,1,0,0,0.0,0,-,15,0,1,4,6.7,16,10,0,62.5,10
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,11,,竹内あか里,5,■,■,■,■,■,12,8,0,66.7,66.7,1.60,0,0,0,-,2,0.40,19,0,0,8,10.5,0,0,0,-,10
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,12,,山田真里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,13,,村永奈央,3,nan,□,■,■,nan,17,2,0,11.8,11.8,0.67,0,0,0,-,1,0.33,10,1,0,4,18.0,27,16,0,59.3,4
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,15,L,佐藤澪,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,15,0,57.7,0
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,17,,ポリーナラヒモワ,5,■,■,■,■,■,91,42,9,46.2,36.3,8.40,37,16,7,43.2,1,0.20,17,2,4,8,21.2,0,0,0,-,45
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,18,,比金桃子,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2016-02-07,02,トヨタ車体クインシーズ,岡山シーガルズ,19,L,志智真梨奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-07,02,東レアローズ,日立リヴァーレ,2,,高田ありさ,4,■,■,■,■,nan,33,13,2,39.4,33.3,3.25,0,0,0,-,1,0.25,15,0,1,9,15.0,43,28,0,65.1,14
2016-02-07,02,東レアローズ,日立リヴァーレ,3,,木村沙織,4,■,■,■,■,nan,46,16,0,34.8,34.8,4.00,2,1,0,50.0,2,0.50,16,1,1,5,12.8,12,9,0,75.0,19
2016-02-07,02,東レアローズ,日立リヴァーレ,4,,迫田さおり,4,■,■,■,■,nan,62,20,3,32.3,27.4,5.00,12,5,0,41.7,2,0.50,14,0,0,2,3.6,1,1,0,100.0,22
