得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,サーブ,22,高梨,,,,,,,
0,0,0,Tie,,,,,,レシーブ成功(優),10,藤中,,
0,0,0,Tie,,,,,,アタック成功:,19,栗山,,
0,1,-1,Behind,,,,,,,得点,,,
0,1,-1,Behind,,,,,,サーブ,8,柳田,,
0,1,-1,Behind,レシーブ失敗,24,小川,,,,,,,
0,1,-1,Behind,,,,,,アタック成功:,19,栗山,,
0,2,-2,Behind,,,,,,,得点,,,
0,2,-2,Behind,,,,,,サーブ,8,柳田,,
0,2,-2,Behind,レシーブ成功(良),1,山田,,,,,,,
0,2,-2,Behind,アタック成功:,1,山田,,,,,,,
1,2,-1,Behind,,得点,,,,,,,,
1,2,-1,Behind,サーブ,6,近,,,,,,,
1,2,-1,Behind,,,,,,レシーブ成功(良),1,鶴田,,
1,2,-1,Behind,,,,,,アタック成功:,8,柳田,,
1,2,-1,Behind,,,,,,,チャレンジ成功,,,
1,3,-2,Behind,,,,,,,得点,,,
1,3,-2,Behind,,,,,,サーブ,12,塩田,,
1,3,-2,Behind,レシーブ成功(優),1,山田,,,,,,,
1,3,-2,Behind,アタック成功:,11,傳田,,,,,,,
2,3,-1,Behind,,得点,,,,,,,,
2,3,-1,Behind,サーブ,3,クレク,,,,,,,
2,3,-1,Behind,,,,,,レシーブ成功(良),8,柳田,,
2,3,-1,Behind,,,,,,アタック成功:,8,柳田,,
2,4,-2,Behind,,,,,,,得点,,,
2,4,-2,Behind,,,,,,サーブ,9,大宅,,
2,4,-2,Behind,レシーブ成功(良),22,高梨,,,,,,,
2,4,-2,Behind,アタック成功:,3,クレク,,,,,,,
3,4,-1,Behind,,得点,,,,,,,,
3,4,-1,Behind,サーブ,1,山田,,,,,,,
3,4,-1,Behind,,,,,,レシーブ失敗,1,鶴田,,
3,4,-1,Behind,,,,,,,19,栗山,,
3,4,-1,Behind,,22,高梨,,,,,,,
3,4,-1,Behind,,,,,,アタック成功:,10,藤中,,
3,5,-2,Behind,,,,,,,得点,,,
3,5,-2,Behind,,,,,,サーブ,10,藤中,,
3,5,-2,Behind,レシーブ成功(優),1,山田,,,,,,,
3,5,-2,Behind,,3,クレク,,,,,,,
3,5,-2,Behind,,,,,,ブロック成功,8,柳田,,
3,6,-3,Behind,,,,,,,得点,,,
3,6,-3,Behind,,タイムアウト,,,,,,,,
3,6,-3,Behind,,,,,,サーブ,10,藤中,,
