試合日,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,1,,細川絢加,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,0
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,2,,和田麻里江,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,3,,井上奈々朱,3,■,■,■,nan,nan,9,4,1,44.4,33.3,1.33,0,0,0,-,1,0.33,6,0,0,3,12.5,0,0,0,-,5
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,5,L,佐藤あり紗,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,9,0,50.0,0
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,7,,パオリーニローレン,3,■,■,■,nan,nan,18,6,1,33.3,27.8,2.00,0,0,0,-,2,0.67,11,1,1,3,14.1,1,0,0,0.0,9
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,8,,佐藤美弥,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-,0
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,9,,渡邊久惠,3,■,■,■,nan,nan,28,3,4,10.7,-3.6,1.00,5,0,2,0.0,0,-,10,0,0,1,2.5,13,6,0,46.2,3
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,10,,内瀬戸真実,3,■,■,■,nan,nan,24,7,1,29.2,25.0,2.33,4,1,0,25.0,1,0.33,9,0,3,1,2.8,10,5,0,50.0,8
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,11,,栗原恵,1,nan,nan,□,nan,nan,14,2,2,14.3,0.0,2.00,0,0,0,-,0,-,2,0,0,2,25.0,4,4,0,100.0,2
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,12,,遠井萌仁,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,13,,石田小枝,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,1,0,1,35.0,0,0,0,-,1
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,14,,佐々木美麗,3,■,■,■,nan,nan,35,11,1,31.4,28.6,3.67,6,1,0,16.7,0,-,7,0,2,1,3.6,19,12,0,63.2,11
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,17,,斎田杏,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-02-28,02,日立リヴァーレ,埼玉上尾メディックス,18,L,伊関悠,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-02-28,02,埼玉上尾メディックス,日立リヴァーレ,1,,土田望未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-02-28,02,埼玉上尾メディックス,日立リヴァーレ,2,,東谷幸子,1,nan,nan,□,nan,nan,3,1,1,33.3,0.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
