名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,2015-02,NECレッドロケッツ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
パオリーニローレン,2015-02,日立リヴァーレ,7,3,18,6,1,33.3,27.8,0,0,0,2,11,1,1,3,1,0,0,9,,2.0,0.67,13.6,0.0
パオリーニローレン,2015-03,日立リヴァーレ,7,15,147,81,5,55.1,51.7,0,0,0,9,52,2,3,19,5,3,0,92,,5.4,0.6,11.5,60.0
マーフィーケリー,2015-02,埼玉上尾メディックス,15,3,43,16,3,37.2,30.2,14,6,1,1,18,1,2,6,1,1,0,18,42.9,5.33,0.33,11.1,100.0
マーフィーケリー,2015-03,埼玉上尾メディックス,15,16,196,71,9,36.2,31.6,62,18,5,4,57,2,7,17,1,0,0,77,29.0,4.44,0.25,7.9,0.0
ミハイロビッチブランキツァ,2015-02,久光製薬スプリングス,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ミハイロビッチブランキツァ,2015-03,久光製薬スプリングス,9,8,28,19,1,67.9,64.3,3,1,0,1,11,1,2,3,3,2,0,21,33.3,2.38,0.12,11.4,66.7
三浦茉実,2015-02,埼玉上尾メディックス,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三浦茉実,2015-03,埼玉上尾メディックス,9,3,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,0.33,,
上野香織,2015-02,NECレッドロケッツ,15,3,12,5,0,41.7,41.7,0,0,0,2,13,1,4,3,3,2,0,8,,1.67,0.67,5.8,66.7
上野香織,2015-03,NECレッドロケッツ,15,8,9,3,1,33.3,22.2,0,0,0,0,18,1,4,6,0,0,0,4,,0.38,0.0,8.3,
下平夏奈,2015-02,東レアローズ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,2015-03,東レアローズ,12,7,0,0,0,,,0,0,0,0,7,0,1,2,0,0,0,0,,0.0,0.0,3.6,
中大路絢野,2015-02,久光製薬スプリングス,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中大路絢野,2015-03,久光製薬スプリングス,24,5,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中道瞳,2015-02,東レアローズ,1,3,1,1,0,100.0,100.0,0,0,0,0,9,0,0,2,0,0,0,1,,0.33,0.0,5.6,
中道瞳,2015-03,東レアローズ,1,14,5,4,0,80.0,80.0,0,0,0,0,40,3,3,6,1,0,0,7,,0.29,0.0,9.4,0.0
丸山亜季,2015-02,岡山シーガルズ,20,4,0,0,0,,,0,0,0,0,0,0,0,0,13,10,0,0,,0.0,0.0,,76.9
丸山亜季,2015-03,岡山シーガルズ,20,17,0,0,0,,,0,0,0,0,0,0,0,0,66,49,0,0,,0.0,0.0,,74.2
丸山裕子,2015-02,埼玉上尾メディックス,20,3,6,4,0,66.7,66.7,0,0,0,1,11,0,0,4,0,0,0,5,,1.33,0.33,9.1,
丸山裕子,2015-03,埼玉上尾メディックス,20,15,68,26,2,38.2,35.3,0,0,0,5,38,0,0,5,2,2,0,31,,1.73,0.33,3.3,100.0
二見梓,2015-02,東レアローズ,10,1,2,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
二見梓,2015-03,東レアローズ,10,7,21,8,0,38.1,38.1,0,0,0,2,22,1,3,4,1,0,0,11,,1.14,0.29,5.7,0.0
井上奈々朱,2015-02,日立リヴァーレ,3,3,9,4,1,44.4,33.3,0,0,0,1,6,0,0,3,0,0,0,5,,1.33,0.33,12.5,
井上奈々朱,2015-03,日立リヴァーレ,3,15,38,17,3,44.7,36.8,0,0,0,9,45,2,4,12,4,3,0,28,,1.13,0.6,8.9,75.0
今野加奈子,2015-02,岡山シーガルズ,3,3,38,10,2,26.3,21.1,0,0,0,0,9,0,1,1,12,5,0,10,,3.33,0.0,0.0,41.7
今野加奈子,2015-03,岡山シーガルズ,3,8,62,20,3,32.3,27.4,2,0,0,0,20,2,3,6,28,16,0,22,0.0,2.5,0.0,13.8,57.1
伊藤望,2015-02,東レアローズ,15,3,17,7,1,41.2,35.3,0,0,0,0,10,0,0,3,0,0,0,7,,2.33,0.0,7.5,
伊藤望,2015-03,東レアローズ,15,18,131,36,9,27.5,20.6,0,0,0,6,36,1,7,9,1,1,0,43,,2.0,0.33,4.2,100.0
伊関悠,2015-02,日立リヴァーレ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木美麗,2015-02,日立リヴァーレ,14,3,35,11,1,31.4,28.6,6,1,0,0,7,0,2,1,19,12,0,11,16.7,3.67,0.0,-3.6,63.2
佐々木美麗,2015-03,日立リヴァーレ,14,14,138,48,7,34.8,29.7,20,6,0,2,36,0,3,6,76,48,0,50,30.0,3.43,0.14,2.1,63.2
佐々木萌,2015-02,岡山シーガルズ,7,4,72,20,1,27.8,26.4,0,0,0,1,12,0,0,2,40,29,0,21,,5.0,0.25,4.2,72.5
佐々木萌,2015-03,岡山シーガルズ,7,17,198,60,7,30.3,26.8,3,0,0,6,65,0,3,12,108,69,0,66,0.0,3.53,0.35,3.5,63.9
佐川奈美,2015-02,NECレッドロケッツ,18,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐川奈美,2015-03,NECレッドロケッツ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤あり紗,2015-02,日立リヴァーレ,5,3,0,0,0,,,0,0,0,0,0,0,0,0,18,9,0,0,,0.0,0.0,,50.0
佐藤あり紗,2015-03,日立リヴァーレ,5,15,0,0,0,,,0,0,0,0,0,0,0,0,68,58,0,0,,0.0,0.0,,85.3
佐藤美弥,2015-02,日立リヴァーレ,8,1,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
佐藤美弥,2015-03,日立リヴァーレ,8,15,9,3,0,33.3,33.3,0,0,0,2,51,2,2,17,0,0,0,7,,0.2,0.13,11.3,
八幡美樹,2015-02,NECレッドロケッツ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
八幡美樹,2015-03,NECレッドロケッツ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
内瀬戸真実,2015-02,日立リヴァーレ,10,3,24,7,1,29.2,25.0,4,1,0,1,9,0,3,1,10,5,0,8,25.0,2.33,0.33,-5.6,50.0
内瀬戸真実,2015-03,日立リヴァーレ,10,15,105,34,3,32.4,29.5,20,3,2,2,71,1,2,22,92,70,0,37,15.0,2.27,0.13,8.5,76.1
冨永こよみ,2015-02,埼玉上尾メディックス,24,3,2,1,0,50.0,50.0,0,0,0,1,11,0,1,3,0,0,0,2,,0.33,0.33,4.5,
冨永こよみ,2015-03,埼玉上尾メディックス,24,15,11,3,1,27.3,18.2,0,0,0,3,38,1,4,8,1,0,0,7,,0.2,0.2,5.3,0.0
古藤千鶴,2015-02,久光製薬スプリングス,2,4,3,1,0,33.3,33.3,0,0,0,1,11,0,0,6,0,0,0,2,,0.25,0.25,13.6,
古藤千鶴,2015-03,久光製薬スプリングス,2,14,6,1,0,16.7,16.7,0,0,0,0,53,3,3,12,0,0,0,4,,0.07,0.0,9.9,
古賀紗理那,2015-03,NECレッドロケッツ,21,11,88,30,2,34.1,31.8,10,1,0,4,27,0,1,9,69,51,0,34,10.0,2.73,0.36,7.4,73.9
吉田みなみ,2015-03,岡山シーガルズ,1,8,5,2,0,40.0,40.0,0,0,0,0,5,0,1,3,4,3,0,2,,0.25,0.0,10.0,75.0
和田麻里江,2015-02,日立リヴァーレ,2,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
和田麻里江,2015-03,日立リヴァーレ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
土田望未,2015-02,埼玉上尾メディックス,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
土田望未,2015-03,埼玉上尾メディックス,1,12,2,0,0,0.0,0.0,0,0,0,0,29,1,2,4,0,0,0,1,,0.0,0.0,5.2,
堀川真理,2015-02,東レアローズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀川真理,2015-03,東レアローズ,9,9,11,5,0,45.5,45.5,0,0,0,2,2,0,0,1,0,0,0,7,,0.56,0.22,12.5,
大室璃紗,2015-02,埼玉上尾メディックス,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大室璃紗,2015-03,埼玉上尾メディックス,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大野果奈,2015-03,NECレッドロケッツ,12,14,72,27,1,37.5,36.1,0,0,0,8,38,0,5,9,3,2,0,35,,1.93,0.57,2.6,66.7
宇賀神みずき,2015-03,岡山シーガルズ,5,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
宮下遥,2015-02,岡山シーガルズ,14,4,2,1,0,50.0,50.0,0,0,0,0,15,0,0,4,0,0,0,1,,0.25,0.0,6.7,
宮下遥,2015-03,岡山シーガルズ,14,17,9,5,0,55.6,55.6,0,0,0,1,74,1,2,26,1,0,0,7,,0.29,0.06,9.5,0.0
家高七央子,2015-02,NECレッドロケッツ,17,2,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
小山綾菜,2015-02,NECレッドロケッツ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小山綾菜,2015-03,NECレッドロケッツ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小平花織,2015-02,東レアローズ,5,3,0,0,0,,,0,0,0,0,0,0,0,0,11,5,0,0,,0.0,0.0,,45.5
小平花織,2015-03,東レアローズ,5,18,0,0,0,,,0,0,0,0,0,0,0,0,112,75,0,0,,0.0,0.0,,67.0
山口かなめ,2015-02,NECレッドロケッツ,5,3,3,2,0,66.7,66.7,0,0,0,2,16,2,0,8,0,0,0,6,,0.67,0.67,25.0,
山口かなめ,2015-03,NECレッドロケッツ,5,13,9,3,0,33.3,33.3,1,0,0,0,43,1,5,16,1,0,0,4,0.0,0.23,0.0,8.7,0.0
山口舞,2015-02,岡山シーガルズ,2,4,21,10,0,47.6,47.6,0,0,0,1,12,0,1,2,0,0,0,11,,2.5,0.25,2.1,
山口舞,2015-03,岡山シーガルズ,2,17,89,36,3,40.4,37.1,0,0,0,5,42,0,0,1,1,1,0,41,,2.12,0.29,0.6,100.0
山岸あかね,2015-02,埼玉上尾メディックス,7,3,0,0,0,,,0,0,0,0,0,0,0,0,11,9,0,0,,0.0,0.0,,81.8
山岸あかね,2015-03,埼玉上尾メディックス,7,16,0,0,0,,,0,0,0,0,0,0,0,0,65,57,0,0,,0.0,0.0,,87.7
岩坂名奈,2015-02,久光製薬スプリングス,4,4,19,9,1,47.4,42.1,0,0,0,3,11,0,1,4,0,0,0,12,,2.25,0.75,6.8,
岩坂名奈,2015-03,久光製薬スプリングス,4,14,48,23,4,47.9,39.6,0,0,0,16,59,3,3,17,12,8,0,42,,1.64,1.14,11.0,66.7
岩崎紗也加,2015-02,NECレッドロケッツ,10,3,0,0,0,,,0,0,0,0,0,0,0,0,12,9,0,0,,0.0,0.0,,75.0
岩崎紗也加,2015-03,NECレッドロケッツ,10,14,0,0,0,,,0,0,0,0,0,0,0,0,89,62,0,0,,0.0,0.0,,69.7
峯村沙紀,2015-02,東レアローズ,6,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,,0.0,0.0,,100.0
峯村沙紀,2015-03,東レアローズ,6,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
島村春世,2015-02,NECレッドロケッツ,8,3,18,6,1,33.3,27.8,0,0,0,2,8,0,1,2,2,2,0,8,,2.0,0.67,3.1,100.0
島村春世,2015-03,NECレッドロケッツ,8,14,103,38,4,36.9,33.0,3,0,0,5,43,1,6,5,2,2,0,44,0.0,2.71,0.36,1.7,100.0
川島亜依美,2015-02,岡山シーガルズ,28,4,13,3,0,23.1,23.1,0,0,0,0,13,1,0,2,0,0,0,4,,0.75,0.0,11.5,
川島亜依美,2015-03,岡山シーガルズ,28,17,88,37,5,42.0,36.4,0,0,0,12,59,2,4,21,4,2,0,51,,2.18,0.71,10.6,50.0
川畑夏希,2015-02,岡山シーガルズ,24,3,0,0,0,,,0,0,0,0,4,0,0,1,4,3,0,0,,0.0,0.0,6.2,75.0
川畑夏希,2015-03,岡山シーガルズ,24,3,0,0,0,,,0,0,0,0,2,0,0,0,1,1,0,0,,0.0,0.0,0.0,100.0
川畑愛希,2015-02,岡山シーガルズ,8,1,7,1,0,14.3,14.3,0,0,0,0,3,0,0,1,7,4,0,1,,1.0,0.0,8.3,57.1
川畑愛希,2015-03,岡山シーガルズ,8,14,145,46,6,31.7,27.6,0,0,0,1,33,1,0,15,52,34,0,48,,3.29,0.07,14.4,65.4
座安琴希,2015-02,久光製薬スプリングス,10,4,0,0,0,,,0,0,0,0,0,0,0,0,11,8,0,0,,0.0,0.0,,72.7
座安琴希,2015-03,久光製薬スプリングス,10,14,0,0,0,,,0,0,0,0,0,0,0,0,64,50,0,0,,0.0,0.0,,78.1
戸江真奈,2015-02,久光製薬スプリングス,18,1,0,0,0,,,0,0,0,0,2,0,0,0,2,2,0,0,,0.0,0.0,0.0,100.0
戸江真奈,2015-03,久光製薬スプリングス,18,2,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
斎田杏,2015-02,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
斎田杏,2015-03,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新鍋理沙,2015-02,久光製薬スプリングス,3,4,54,17,1,31.5,29.6,1,0,1,0,15,0,2,5,30,26,0,17,0.0,4.25,0.0,5.0,86.7
新鍋理沙,2015-03,久光製薬スプリングス,3,14,146,55,5,37.7,34.2,5,1,0,5,58,1,8,8,66,44,0,61,20.0,3.93,0.36,1.7,66.7
有田沙織,2015-03,埼玉上尾メディックス,6,6,14,5,1,35.7,28.6,0,0,0,1,2,0,0,2,3,3,0,6,,0.83,0.17,25.0,100.0
木村沙織,2015-02,東レアローズ,3,3,35,12,2,34.3,28.6,6,1,0,0,13,0,1,3,12,8,0,12,16.7,4.0,0.0,3.8,66.7
木村沙織,2015-03,東レアローズ,3,18,185,52,12,28.1,21.6,17,1,6,2,75,2,6,23,102,68,0,56,5.9,2.89,0.11,8.3,66.7
木村美里,2015-02,東レアローズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
木村美里,2015-03,東レアローズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
杉原若葉,2015-02,東レアローズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
