得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,サーブ,15,松本,,,,,,,
0,0,0,Tie,,,,,,レシーブ成功(優),11,水杉,,
0,0,0,Tie,,,,,,,9,黒後,,
0,0,0,Tie,,6,金杉,,,,,,,
0,0,0,Tie,,,,,,,9,黒後,,
0,0,0,Tie,,,,,,アタック成功:,12,石川,,
0,1,-1,Behind,,,,,,,得点,,,
0,1,-1,Behind,,,,,,サーブ,12,石川,,
0,1,-1,Behind,レシーブ成功(優),15,松本,,,,,,,
0,1,-1,Behind,,14,佐々木,,,,,,,
0,1,-1,Behind,アタック成功:,13,田中,,,,,,,
1,1,0,Tie,,得点,,,,,,,,
1,1,0,Tie,サーブ,14,佐々木,,,,,,,
1,1,0,Tie,,,,,,レシーブ失敗,9,黒後,,
1,1,0,Tie,,,,,,,7,クラン,,
1,1,0,Tie,,13,田中,,,,,,,
1,1,0,Tie,,,,,,アタック成功:,2,大野,,
1,2,-1,Behind,,,,,,,得点,,,
1,2,-1,Behind,,,,,,サーブ,2,大野,,
1,2,-1,Behind,レシーブ成功(良),4,花井,,,,,,,
1,2,-1,Behind,,6,金杉,,,,,,,
1,2,-1,Behind,,,,,,アタック成功:,9,黒後,,
1,3,-2,Behind,,,,,,,得点,,,
1,3,-2,Behind,,,,,,サーブ,2,大野,,
1,3,-2,Behind,レシーブ成功(優),4,花井,,,,,,,
1,3,-2,Behind,アタック成功:,13,田中,,,,,,,
2,3,-1,Behind,,得点,,,,,,,,
2,3,-1,Behind,サーブ,13,田中,,,,,,,
2,3,-1,Behind,,,,,,レシーブ成功(優),9,黒後,,
2,3,-1,Behind,,,,,,,8,小川,,
2,3,-1,Behind,,6,金杉,,,,,,,
2,3,-1,Behind,,5,長野,,,,,,,
2,3,-1,Behind,,,,,,,12,石川,,
2,3,-1,Behind,,6,金杉,,,,,,,
2,3,-1,Behind,,,,,,アタック成功:,7,クラン,,
2,4,-2,Behind,,,,,,,得点,,,
2,4,-2,Behind,,,,,,サーブ,9,黒後,,
2,4,-2,Behind,レシーブ失敗,15,松本,,,,,,,
2,4,-2,Behind,アタック失敗,6,金杉,,,,,,,
2,5,-3,Behind,,,,,,,得点,,,
2,5,-3,Behind,,,,,,サーブ,9,黒後,,
2,5,-3,Behind,レシーブ失敗,15,松本,,,,,,,
2,5,-3,Behind,アタック成功:,6,金杉,,,,,,,
3,5,-2,Behind,,得点,,,,,,,,
3,5,-2,Behind,サーブ,6,金杉,,,,,,,
3,5,-2,Behind,,,,,,レシーブ失敗,9,黒後,,
3,5,-2,Behind,,,,,,,7,クラン,,
3,5,-2,Behind,,,,,,アタック成功:,9,黒後,,
3,6,-3,Behind,,,,,,,得点,,,
3,6,-3,Behind,,,,,,サーブ,7,クラン,,
3,6,-3,Behind,レシーブ成功(優),4,花井,,,,,,,
3,6,-3,Behind,アタック成功:,15,松本,,,,,,,
4,6,-2,Behind,,得点,,,,,,,,
4,6,-2,Behind,サーブ,5,長野,,,,,,,
4,6,-2,Behind,,,,,,レシーブ失敗,11,水杉,,
4,6,-2,Behind,,,,,,,12,石川,,
4,6,-2,Behind,アタック成功:,14,佐々木,,,,,,,
5,6,-1,Behind,,得点,,,,,,,,
5,6,-1,Behind,サーブ,5,長野,,,,,,,
5,6,-1,Behind,,,,,,レシーブ失敗,9,黒後,,
5,6,-1,Behind,,,,,,,7,クラン,,
5,6,-1,Behind,,15,松本,,,,,,,
5,6,-1,Behind,,,,,,,8,小川,,
5,6,-1,Behind,,,,,,,12,石川,,
5,6,-1,Behind,,,,,,,7,クラン,,
5,6,-1,Behind,アタック失敗,15,松本,,,,,,,
5,6,-1,Behind,,チャレンジ失敗,,,,,,,,
5,7,-2,Behind,,,,,,,得点,,,
5,7,-2,Behind,,,,,,サーブ,8,小川,,
5,7,-2,Behind,レシーブ失敗,15,松本,,,,,,,
5,7,-2,Behind,,15,松本,,,,,,,
5,7,-2,Behind,,,,,,,12,石川,,
5,7,-2,Behind,,14,佐々木,,,,,,,
5,7,-2,Behind,,6,金杉,,,,,,,
5,7,-2,Behind,,,,,,アタック成功:,12,石川,,
5,8,-3,Behind,,,,,,,得点,,,
5,8,-3,Behind,,,,,,,テクニカルタイムアウト,,,
5,8,-3,Behind,,,,,,サーブ,8,小川,,
5,8,-3,Behind,レシーブ成功(優),15,松本,,,,,,,
5,8,-3,Behind,アタック成功:,14,佐々木,,,,,,,
6,8,-2,Behind,,得点,,,,,,,,
6,8,-2,Behind,サーブ,2,櫻井,,,,,,,
6,8,-2,Behind,,,,,,レシーブ成功(良),12,石川,,
6,8,-2,Behind,,,,,,アタック成功:,12,石川,,
6,9,-3,Behind,,,,,,,得点,,,
6,9,-3,Behind,,,,,,サーブ,10,関,,
6,9,-3,Behind,レシーブ成功(良),15,松本,,,,,,,
6,9,-3,Behind,,13,田中,,,,,,,
6,9,-3,Behind,,,,,,,9,黒後,,
6,9,-3,Behind,,15,松本,,,,,,,
6,9,-3,Behind,,,,,,,12,石川,,
6,9,-3,Behind,,,,,,アタック成功:,9,黒後,,
6,10,-4,Behind,,,,,,,得点,,,
6,10,-4,Behind,,タイムアウト,,,,,,,,
6,10,-4,Behind,,,,,,サーブ,10,関,,
6,10,-4,Behind,レシーブ成功(優),15,松本,,,,,,,
6,10,-4,Behind,アタック成功:,13,田中,,,,,,,
7,10,-3,Behind,,得点,,,,,,,,
7,10,-3,Behind,サーブ,15,松本,,,,,,,
7,10,-3,Behind,,,,,,レシーブ失敗,11,水杉,,
7,10,-3,Behind,,,,,,,9,黒後,,
7,10,-3,Behind,,,,,,アタック成功:,9,黒後,,
7,11,-4,Behind,,,,,,,得点,,,
7,11,-4,Behind,,,,,,サーブ,12,石川,,
7,11,-4,Behind,レシーブ失敗,15,松本,,,,,,,
7,11,-4,Behind,,,,,,アタック成功:,7,クラン,,
7,12,-5,Behind,,,,,,,得点,,,
7,12,-5,Behind,,,,,,サーブ,12,石川,,
7,12,-5,Behind,レシーブ成功(優),15,松本,,,,,,,
7,12,-5,Behind,,14,佐々木,,,,,,,
7,12,-5,Behind,アタック成功:,6,金杉,,,,,,,
