得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,,,,,,サーブ,17,藪田,,
0,0,0,Tie,レシーブ失敗,4,窪田,,,,,,,
0,0,0,Tie,,,,,,アタック成功:,11,荒木,,
0,1,-1,Behind,,,,,,,得点,,,
0,1,-1,Behind,,,,,,サーブ,17,藪田,,
0,1,-1,Behind,レシーブ成功(優),4,窪田,,,,,,,
0,1,-1,Behind,,5,タップ,,,,,,,
0,1,-1,Behind,,5,タップ,,,,,,,
0,1,-1,Behind,,,,,,,13,ソロカイテ,,
0,1,-1,Behind,アタック失敗,4,窪田,,,,,,,
0,2,-2,Behind,,,,,,,得点,,,
0,2,-2,Behind,,,,,,サーブ,17,藪田,,
0,2,-2,Behind,レシーブ成功(優),4,窪田,,,,,,,
0,2,-2,Behind,アタック成功:,13,長内,,,,,,,
0,2,-2,Behind,,,,,,レシーブ成功(優),6,村永,,
0,2,-2,Behind,,,,,,,11,荒木,,
0,2,-2,Behind,,14,入澤,,,,,,,
0,2,-2,Behind,,17,オクム大庭,,,,,,,
0,2,-2,Behind,,,,,,ブロック成功,11,荒木,,
2,2,0,Tie,,,,,,,得点,,,
2,2,0,Tie,,,,,,サービスエース,11,荒木,,
2,2,0,Tie,レシーブ失敗,14,入澤,,,,,,,
2,3,-1,Behind,,,,,,,得点,,,
2,3,-1,Behind,,,,,,サーブ,11,荒木,,
2,3,-1,Behind,レシーブ成功(良),4,窪田,,,,,,,
2,3,-1,Behind,アタック成功:,17,オクム大庭,,,,,,,
3,3,0,Tie,,得点,,,,,,,,
3,3,0,Tie,サーブ,21,雑賀,,,,,,,
3,3,0,Tie,,,,,,レシーブ成功(良),7,渡邊,,
3,3,0,Tie,,,,,,アタック成功:,6,村永,,
3,4,-1,Behind,,,,,,,得点,,,
3,4,-1,Behind,,,,,,サーブ,13,ソロカイテ,,
3,4,-1,Behind,レシーブ成功(優),4,窪田,,,,,,,
3,4,-1,Behind,アタック成功:,17,オクム大庭,,,,,,,
4,4,0,Tie,,得点,,,,,,,,
4,4,0,Tie,サーブ,17,オクム大庭,,,,,,,
4,4,0,Tie,,,,,,レシーブ成功(良),17,藪田,,
4,4,0,Tie,,,,,,,6,村永,,
4,4,0,Tie,,1,上坂,,,,,,,
4,4,0,Tie,,,,,,,6,村永,,
4,4,0,Tie,,1,上坂,,,,,,,
4,4,0,Tie,,,,,,,6,村永,,
4,4,0,Tie,,,,,,,6,村永,,
4,4,0,Tie,,,,,,,17,藪田,,
4,4,0,Tie,,,,,,ブロック成功,6,村永,,
4,5,-1,Behind,,,,,,,得点,,,
4,5,-1,Behind,,,,,,サーブ,6,村永,,
4,5,-1,Behind,レシーブ成功(良),1,上坂,,,,,,,
4,5,-1,Behind,,4,窪田,,,,,,,
4,5,-1,Behind,,,,,,,17,藪田,,
4,5,-1,Behind,,4,窪田,,,,,,,
4,5,-1,Behind,,,,,,,13,ソロカイテ,,
4,5,-1,Behind,,4,窪田,,,,,,,
4,5,-1,Behind,,,,,,,17,藪田,,
4,5,-1,Behind,アタック成功:,17,オクム大庭,,,,,,,
4,5,-1,Behind,,チャレンジ成功,,,,,,,,
5,5,0,Tie,,得点,,,,,,,,
5,5,0,Tie,サーブ,14,入澤,,,,,,,
5,5,0,Tie,,,,,,レシーブ失敗,6,村永,,
5,5,0,Tie,,,,,,アタック成功:,7,渡邊,,
5,6,-1,Behind,,,,,,,得点,,,
5,6,-1,Behind,,,,,,サーブ,7,渡邊,,
5,6,-1,Behind,レシーブ成功(優),1,上坂,,,,,,,
5,6,-1,Behind,,5,タップ,,,,,,,
5,6,-1,Behind,,,,,,,17,藪田,,
5,6,-1,Behind,,1,上坂,,,,,,,
5,6,-1,Behind,,,,,,アタック成功:,17,藪田,,
5,7,-2,Behind,,,,,,,得点,,,
5,7,-2,Behind,,,,,,サービスエース,7,渡邊,,
5,7,-2,Behind,レシーブ失敗,10,小池,,,,,,,
5,8,-3,Behind,,,,,,,得点,,,
5,8,-3,Behind,,タイムアウト,,,,,,,,
5,8,-3,Behind,,,,,,サーブ,7,渡邊,,
5,8,-3,Behind,レシーブ失敗,10,小池,,,,,,,
5,8,-3,Behind,,1,上坂,,,,,,,
5,8,-3,Behind,,,,,,,17,藪田,,
5,8,-3,Behind,アタック成功:,1,上坂,,,,,,,
6,8,-2,Behind,,得点,,,,,,,,
6,8,-2,Behind,サーブ,4,窪田,,,,,,,
6,8,-2,Behind,,,,,,レシーブ成功(優),17,藪田,,
6,8,-2,Behind,,,,,,アタック成功:,11,荒木,,
6,8,-2,Behind,,,,,,,チャレンジ成功,,,
6,9,-3,Behind,,,,,,,得点,,,
6,9,-3,Behind,,,,,,サーブ,20,山形,,
6,9,-3,Behind,レシーブ失敗,4,窪田,,,,,,,
6,9,-3,Behind,アタック成功:,17,オクム大庭,,,,,,,
11,6,5,Lead,,得点,,,,,,,,
11,6,5,Lead,サーブ,21,雑賀,,,,,,,
11,6,5,Lead,,,,,,レシーブ失敗,6,村永,,
11,6,5,Lead,,,,,,アタック成功:,17,藪田,,
11,6,5,Lead,,チャレンジ失敗,,,,,,,,
11,7,4,Lead,,,,,,,得点,,,
11,7,4,Lead,,,,,,サーブ,7,渡邊,,
11,7,4,Lead,レシーブ成功(優),4,窪田,,,,,,,
11,7,4,Lead,アタック成功:,17,オクム大庭,,,,,,,
12,7,5,Lead,,得点,,,,,,,,
12,7,5,Lead,サーブ,17,オクム大庭,,,,,,,
