名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,03,久光製薬スプリングス,16,26,106,62,6,58.5,52.8,0,0,0,18,82,5,1,30,2,1,1,,2.4,0.7,14.9,75.0
アルハッサンラーマット,03,NECレッドロケッツ,15,19,89,45,2,50.6,48.3,1,0,0,14,50,0,3,6,2,2,0,0.0,2.4,0.7,1.5,100.0
オズソイネリマン,03,トヨタ車体クインシーズ,13,27,435,173,34,39.8,32.0,134,48,19,7,94,6,2,22,0,0,0,35.8,6.4,0.3,11.7,
カムンタラーケオカラヤー,03,JTマーヴェラス,8,26,81,29,7,35.8,27.2,0,0,0,11,56,2,2,17,5,3,0,,1.1,0.4,10.3,60.0
クランヤナ,03,東レアローズ,7,28,405,167,19,41.2,36.5,78,36,8,22,94,3,3,28,0,0,0,46.2,6.0,0.8,9.8,
サンティアゴアライジャダフニ,03,埼玉上尾メディックス,3,27,124,63,7,50.8,45.2,0,0,0,20,81,1,4,19,2,0,1,,2.3,0.7,5.9,25.0
シニアードジャック,03,デンソーエアリービーズ,18,28,213,113,14,53.1,46.5,0,0,0,17,65,5,6,23,2,1,1,,4.0,0.6,14.2,75.0
シュシュニャルカタリナ,03,埼玉上尾メディックス,17,27,353,146,25,41.4,34.3,129,53,12,12,82,7,14,18,1,0,0,41.1,5.4,0.4,9.8,0.0
ヒックマンジャスティス,03,JTマーヴェラス,14,14,2,0,0,0.0,0.0,1,0,0,0,5,0,0,0,21,10,5,0.0,0.0,0.0,0.0,59.5
マナバットアレオナデニス,03,東レアローズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
ミハイロヴィッチブランキツァ,03,JTマーヴェラス,9,21,287,113,29,39.4,29.3,56,22,8,3,78,5,6,34,1,0,0,39.3,5.4,0.1,15.4,0.0
三浦茉実,03,埼玉上尾メディックス,9,10,12,3,0,25.0,25.0,0,0,0,1,27,2,1,5,2,1,0,,0.3,0.1,11.1,50.0
上坂瑠子,03,日立リヴァーレ,18,16,134,45,11,33.6,25.4,11,3,3,3,33,2,4,9,57,20,16,27.3,2.8,0.2,9.8,49.1
上野香織,03,NECレッドロケッツ,6,1,4,2,0,50.0,50.0,0,0,0,0,2,0,1,0,1,0,0,,2.0,0.0,-12.5,0.0
中元南,03,デンソーエアリービーズ,1,10,86,25,4,29.1,24.4,9,2,1,0,27,1,5,7,1,0,0,22.2,2.5,0.0,5.6,0.0
中島未来,03,東レアローズ,11,26,0,0,0,,,0,0,0,0,0,0,0,0,43,21,11,,0.0,0.0,,61.6
中川千世,03,デンソーエアリービーズ,10,28,0,0,0,,,0,0,0,0,0,0,0,0,115,34,35,,0.0,0.0,,44.8
中田紫乃,03,東レアローズ,9,28,107,37,6,34.6,29.0,4,1,0,8,110,3,3,35,212,88,48,25.0,1.3,0.3,10.0,52.8
丸山裕子,03,埼玉上尾メディックス,20,4,9,4,1,44.4,33.3,0,0,0,1,4,0,1,0,0,0,0,,1.0,0.2,-6.2,
井上奈々朱,03,東レアローズ,1,27,109,57,6,52.3,46.8,1,0,0,16,68,3,4,18,3,2,0,0.0,2.1,0.6,9.6,66.7
井上愛里沙,03,久光製薬スプリングス,22,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上美咲,03,埼玉上尾メディックス,13,27,12,6,0,50.0,50.0,0,0,0,4,120,6,9,40,1,0,0,,0.2,0.1,11.5,0.0
今村優香,03,久光製薬スプリングス,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤望,03,東レアローズ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
